day_of_week,season,total_workers,cutting_workers,sewing_workers,finishing_workers,absent_workers,,,overtime_hours,cutting_output,sewing_output,finishing_output,final_output,daily_target,defect_rate,rework_percentage,machine_utilization,equipment_downtime,cutting_quality,sewing_quality,finishing_quality,workflow_blocked,bottleneck_department,reallocated_workers,diversion_success,productivity_gap,target_achieved,absence_rate
3,off-peak,74,14,47,13,3,,,1.07,282,578,267,255,186,0.0217,0.045,0.7461,0,0.9257,0.9057,0.962,1,Cutting,5,1,69,1,0.038961039
4,off-peak,72,14,43,15,7,,,2.01,350,697,358,338,157,0.014,0.0375,0.8895,0,0.921,0.8651,0.9041,1,Finishing,3,1,181,1,0.088607595
5,off-peak,65,12,41,12,5,,,2.08,328,684,317,311,123,0.013,0.0227,0.9334,0,0.9551,0.9201,0.9616,1,Finishing,4,1,188,1,0.071428571
6,off-peak,67,10,42,15,7,,,2.56,247,639,275,224,94,0.0136,0.0856,0.7489,0,0.9249,0.8631,0.9016,1,Cutting,3,1,130,1,0.094594595
0,off-peak,70,11,44,15,10,,,3.08,304,771,326,273,185,0.0241,0.0976,0.837,0,0.9496,0.9239,0.9518,1,Cutting,3,1,88,1,0.125
1,off-peak,54,12,34,8,5,,,2.28,244,503,177,159,158,0.0352,0.1151,0.725,0,0.9237,0.9746,0.9762,1,Finishing,4,1,1,1,0.084745763
2,off-peak,65,13,41,11,5,,,3.49,300,666,218,199,176,0.0283,0.0888,0.7144,0,0.9585,0.9074,0.9799,1,Finishing,0,0,23,1,0.071428571
3,off-peak,68,11,45,12,3,,,0.82,225,732,265,218,173,0.0237,0.0284,0.7936,0,0.9459,0.9557,0.9853,1,Cutting,0,0,45,1,0.042253521
4,off-peak,70,11,46,13,6,,,0,236,607,306,217,169,0.0216,0.0636,0.8623,0,0.9722,0.9258,0.9866,1,Cutting,0,0,48,1,0.078947368
5,off-peak,60,9,37,14,7,,,1.31,203,681,323,188,100,0.0155,0.0481,0.8573,0,0.9687,0.9091,0.9565,1,Cutting,0,0,88,1,0.104477612
6,off-peak,58,10,39,9,4,,,0.57,201,524,196,190,127,0.019,0.0333,0.765,0,0.9517,0.8542,0.9252,1,Finishing,3,1,63,1,0.064516129
0,off-peak,65,12,38,15,7,,,0.35,311,721,371,289,170,0.0188,0.0615,0.9463,0,0.9464,0.9474,0.9354,1,Cutting,5,1,119,1,0.097222222
1,off-peak,67,15,36,16,10,,,2.37,374,652,350,334,152,0.0153,0.0469,0.8126,0,0.929,0.974,0.9546,1,Cutting,3,1,182,1,0.12987013
2,off-peak,51,11,30,10,5,,,2.91,298,582,243,225,120,0.0188,0.0808,0.8888,0,0.9634,0.9415,0.9192,1,Finishing,4,1,105,1,0.089285714
3,off-peak,78,15,46,17,3,,,1.48,410,814,421,393,185,0.0148,0.0409,0.9316,0,0.9544,0.8836,0.9413,1,Cutting,4,1,208,1,0.037037037
4,off-peak,67,11,46,10,6,,,0.33,245,650,223,218,167,0.0204,0.0232,0.8669,0,0.9321,0.875,0.9037,1,Cutting,2,1,51,1,0.082191781
5,off-peak,59,11,36,12,4,,,1.3,273,641,309,251,101,0.0114,0.0737,0.9302,0,0.9243,0.886,0.9726,1,Cutting,0,0,150,1,0.063492063
6,off-peak,59,13,37,9,9,,,0,255,485,209,202,82,0.0119,0.0382,0.833,0,0.9275,0.9082,0.9479,1,Finishing,2,1,120,1,0.132352941
0,off-peak,56,13,32,11,5,,,2.85,353,553,273,252,160,0.0219,0.0846,0.8842,0,0.959,0.9262,0.9508,1,Finishing,5,1,92,1,0.081967213
1,off-peak,72,10,50,12,9,,,0.86,214,695,242,188,184,0.0293,0.1097,0.7433,0,0.9828,0.8604,0.9472,1,Cutting,4,1,4,1,0.111111111
2,off-peak,55,9,35,11,3,,,2.55,218,516,220,202,120,0.0203,0.0811,0.7513,0,0.9878,0.9424,0.918,1,Finishing,2,1,82,1,0.051724138
3,off-peak,78,16,48,14,6,,,1.33,383,835,367,334,178,0.0174,0.0994,0.9025,0,0.9378,0.9386,0.9684,1,Finishing,2,1,156,1,0.071428571
4,off-peak,79,17,43,19,5,,,0,400,623,456,361,211,0.0185,0.0865,0.8954,0,0.978,0.9476,0.972,1,Cutting,5,1,150,1,0.05952381
5,off-peak,68,13,40,15,11,,,2.75,305,564,319,287,127,0.014,0.0632,0.7581,0,0.983,0.8999,0.9489,1,Finishing,4,1,160,1,0.139240506
6,off-peak,57,12,34,11,5,,,3.39,328,681,282,256,114,0.0149,0.1021,0.8946,0,0.93,0.8766,0.9643,1,Finishing,5,1,142,1,0.080645161
0,off-peak,62,12,38,12,5,,,2.11,283,585,276,261,157,0.0193,0.0624,0.8357,0,0.9376,0.8949,0.9163,1,Finishing,4,1,104,1,0.074626866
1,off-peak,61,12,40,9,5,,,3.91,282,649,171,152,163,0.0365,0.1134,0.7058,0,0.9656,0.9503,0.9337,1,Finishing,0,0,-11,0,0.075757576
2,off-peak,74,17,45,12,3,,,3.78,476,897,307,276,199,0.0266,0.112,0.8861,0,0.9344,0.9524,0.9543,1,Finishing,3,1,77,1,0.038961039
3,off-peak,74,11,46,17,7,,,0.93,283,675,391,270,165,0.0186,0.0349,0.8951,0,0.9394,0.8786,0.9191,1,Cutting,5,1,105,1,0.086419753
4,off-peak,78,12,49,17,5,,,2.12,319,767,347,297,201,0.023,0.0641,0.7944,0,0.9786,0.9264,0.9265,1,Cutting,3,1,96,1,0.060240964
5,off-peak,71,11,45,15,2,,,2.27,256,647,286,250,134,0.0185,0.022,0.739,0,0.9701,0.9357,0.9024,1,Cutting,4,1,116,1,0.02739726
6,off-peak,56,12,32,12,3,,,2.88,309,572,305,276,120,0.0144,0.1048,0.867,0,0.9343,0.8881,0.9807,1,Finishing,4,1,156,1,0.050847458
0,off-peak,51,11,31,9,7,,,0.17,206,486,196,190,126,0.018,0.034,0.7863,0,0.9742,0.8972,0.9775,1,Finishing,0,0,64,1,0.120689655
1,off-peak,69,13,46,10,9,,,0.84,279,647,251,226,192,0.025,0.1114,0.8613,0,0.9495,0.8672,0.9811,1,Finishing,5,1,34,1,0.115384615
2,off-peak,61,12,36,13,2,,,0,271,609,286,244,154,0.0197,0.0971,0.8494,0,0.962,0.9365,0.9158,1,Cutting,3,1,90,1,0.031746032
3,off-peak,73,15,46,12,9,,,0.13,298,710,294,274,192,0.0215,0.074,0.8416,0,0.9533,0.9363,0.9843,1,Finishing,5,1,82,1,0.109756098
4,off-peak,59,10,36,13,6,,,0,223,548,277,202,139,0.0197,0.079,0.8496,0,0.9522,0.8599,0.907,1,Cutting,5,1,63,1,0.092307692
5,off-peak,71,15,42,14,10,,,2.05,379,712,336,301,119,0.0136,0.1144,0.8647,0,0.9685,0.9604,0.9225,1,Finishing,3,1,182,1,0.12345679
6,off-peak,63,12,40,11,7,,,1.23,293,666,287,272,134,0.0146,0.0565,0.8988,0,0.9722,0.8571,0.941,1,Finishing,2,1,138,1,0.1
0,off-peak,48,10,31,7,8,,,0.95,207,575,166,150,125,0.0274,0.1075,0.83,0,0.9499,0.964,0.9376,1,Finishing,5,1,25,1,0.142857143
1,off-peak,47,7,33,7,10,,,1.52,146,535,150,131,137,0.0319,0.1053,0.8044,0,0.9495,0.9459,0.9215,1,Cutting,0,0,-6,0,0.175438596
2,off-peak,52,9,32,11,7,,,2.35,271,691,269,239,142,0.02,0.1143,0.9198,0,0.9861,0.9108,0.9552,1,Cutting,2,1,97,1,0.118644068
3,off-peak,67,12,45,10,6,,,3.7,371,980,241,213,147,0.024,0.1196,0.9209,0,0.9849,0.9793,0.9157,1,Finishing,0,0,66,1,0.082191781
4,off-peak,54,8,34,12,3,,,1.98,176,466,221,166,113,0.0212,0.0453,0.7111,0,0.9797,0.8546,0.9296,1,Cutting,4,1,53,1,0.052631579
5,off-peak,57,9,36,12,2,,,1.6,234,610,294,205,116,0.0172,0.0997,0.9266,0,0.96,0.9361,0.9489,1,Cutting,0,0,89,1,0.033898305
6,off-peak,53,12,30,11,2,,,2.17,327,544,287,282,107,0.0131,0.0201,0.9403,0,0.9526,0.9643,0.9005,1,Finishing,2,1,175,1,0.036363636
0,off-peak,75,15,42,18,8,,,0.62,286,673,376,244,185,0.0212,0.1137,0.7708,0,0.9213,0.9062,0.9756,1,Cutting,0,0,59,1,0.096385542
1,off-peak,61,9,40,12,11,,,1.35,229,585,303,212,145,0.019,0.0572,0.9422,0,0.9725,0.8669,0.9682,1,Cutting,0,0,67,1,0.152777778
2,off-peak,58,11,33,14,7,,,1.67,216,560,282,199,135,0.0207,0.0632,0.7552,0,0.9258,0.9385,0.9589,1,Cutting,0,0,64,1,0.107692308
3,off-peak,61,10,36,15,9,,,2.6,304,630,354,294,142,0.0166,0.0291,0.917,0,0.97,0.9232,0.9424,1,Cutting,4,1,152,1,0.128571429
4,off-peak,55,9,33,13,13,,,1.16,184,486,251,168,128,0.0242,0.0655,0.7313,0,0.968,0.9059,0.918,1,Cutting,3,1,40,1,0.191176471
5,off-peak,77,17,44,16,7,,,3.7,401,758,291,276,151,0.019,0.0546,0.7262,0,0.9369,0.9783,0.9128,1,Finishing,0,0,125,1,0.083333333
6,off-peak,70,16,43,11,2,,,1.49,397,798,258,232,137,0.0182,0.1096,0.8724,0,0.976,0.876,0.9151,1,Finishing,2,1,95,1,0.027777778
0,off-peak,51,12,28,11,10,,,1.36,281,449,233,215,110,0.015,0.0793,0.8494,0,0.9749,0.9125,0.9037,1,Finishing,0,0,105,1,0.163934426
1,off-peak,72,14,42,16,7,,,1.91,368,694,383,352,186,0.0188,0.0421,0.8798,0,0.936,0.9795,0.9877,1,Cutting,4,1,166,1,0.088607595
2,off-peak,52,11,30,11,3,,,0.45,242,444,238,212,149,0.0218,0.1101,0.8358,0,0.956,0.9264,0.9026,1,Cutting,3,1,63,1,0.054545455
3,off-peak,66,12,42,12,7,,,1.03,246,544,234,228,166,0.0235,0.0297,0.7449,0,0.9366,0.9763,0.9163,1,Cutting,3,1,62,1,0.095890411
4,off-peak,72,11,48,13,6,,,1.46,249,598,263,231,191,0.0259,0.072,0.7653,0.79,0.9478,0.8808,0.9211,1,Cutting,3,1,40,1,0.076923077
5,off-peak,59,14,35,10,4,,,0.42,296,561,222,217,122,0.0164,0.0234,0.8187,0,0.9791,0.9547,0.9527,1,Finishing,0,0,95,1,0.063492063
6,off-peak,60,12,38,10,3,,,0,209,512,199,185,114,0.0195,0.078,0.7371,0,0.9891,0.9755,0.9004,1,Finishing,4,1,71,1,0.047619048
0,off-peak,63,9,43,11,9,,,0.57,205,758,245,191,140,0.024,0.0574,0.8682,0,0.9511,0.9629,0.9159,1,Cutting,3,1,51,1,0.125
1,off-peak,67,10,41,16,4,,,2.43,253,659,355,211,161,0.023,0.1193,0.8667,0,0.9604,0.8953,0.9143,1,Cutting,0,0,50,1,0.056338028
2,off-peak,68,14,39,15,7,,,2.07,337,630,345,313,179,0.0173,0.0763,0.8089,0,0.9772,0.8656,0.949,1,Finishing,2,1,134,1,0.093333333
3,off-peak,71,12,48,11,8,,,2.18,302,763,267,256,162,0.0218,0.0446,0.8356,0,0.9866,0.9601,0.9823,1,Finishing,4,1,94,1,0.101265823
4,off-peak,64,15,40,9,6,,,0,314,529,216,207,182,0.025,0.0457,0.8637,0,0.9466,0.8756,0.9431,1,Finishing,4,1,25,1,0.085714286
5,off-peak,72,11,46,15,11,,,2.91,323,855,351,283,128,0.0159,0.1163,0.8703,0,0.9327,0.9183,0.9638,1,Cutting,4,1,155,1,0.13253012
6,off-peak,69,11,48,10,7,,,1.66,264,863,230,219,125,0.0178,0.0502,0.8527,0,0.9488,0.9592,0.981,1,Finishing,0,0,94,1,0.092105263
0,off-peak,51,11,32,8,7,,,0,188,395,173,164,152,0.0256,0.0591,0.7542,0,0.9267,0.8531,0.9578,1,Finishing,3,1,12,1,0.120689655
1,off-peak,70,15,42,13,9,,,2.01,320,563,254,236,161,0.0226,0.0796,0.726,0,0.9707,0.9252,0.9247,1,Finishing,2,1,75,1,0.113924051
2,off-peak,76,15,50,11,5,,,0.94,325,909,242,224,185,0.0236,0.0758,0.87,0,0.9362,0.9094,0.9171,1,Finishing,0,0,39,1,0.061728395
3,off-peak,78,19,46,13,6,,,0.53,408,825,348,329,185,0.0167,0.0599,0.9055,0,0.9201,0.8891,0.9883,1,Finishing,2,1,144,1,0.071428571
4,off-peak,69,14,45,10,5,,,1.79,365,701,246,234,179,0.0232,0.0546,0.8955,0,0.9696,0.8547,0.9273,1,Finishing,2,1,55,1,0.067567568
5,off-peak,58,12,35,11,7,,,2.29,287,641,255,232,100,0.0144,0.099,0.8253,0,0.9478,0.9202,0.9565,1,Finishing,2,1,132,1,0.107692308
6,off-peak,64,11,38,15,5,,,3.16,363,759,375,351,90,0.0091,0.0346,0.9307,0,0.9541,0.9288,0.9688,1,Cutting,5,1,261,1,0.072463768
0,peak,66,10,41,15,9,,,1.29,225,518,285,214,228,0.033,0.0392,0.7264,0,0.9649,0.8781,0.9558,1,Cutting,3,1,-14,0,0.12
1,peak,57,14,34,9,8,,,0,235,435,170,156,213,0.0401,0.0856,0.7156,0,0.9557,0.9796,0.9733,1,Finishing,0,0,-57,0,0.123076923
2,peak,68,14,42,12,4,,,3.87,327,674,230,222,210,0.0335,0.039,0.7028,0,0.9491,0.9126,0.9017,1,Finishing,2,1,12,1,0.055555556
3,peak,67,15,36,16,8,,,2.1,320,487,329,302,211,0.0212,0.0594,0.7245,0,0.9542,0.8695,0.9292,1,Finishing,2,1,91,1,0.106666667
4,peak,60,12,34,14,4,,,4.37,376,673,351,329,210,0.0218,0.0651,0.9254,0,0.9523,0.9328,0.9593,1,Finishing,0,0,119,1,0.0625
5,peak,54,8,38,8,5,,,6.23,263,831,191,185,128,0.0268,0.0385,0.8271,0,0.9471,0.9101,0.9892,1,Finishing,2,1,57,1,0.084745763
6,peak,51,9,34,8,8,,,5.46,261,548,171,160,105,0.0217,0.0678,0.7955,0,0.9344,0.8658,0.9554,1,Finishing,0,0,55,1,0.13559322
0,peak,53,8,35,10,11,,,6.99,265,678,213,191,186,0.0376,0.1143,0.7846,0,0.985,0.8792,0.9335,1,Finishing,2,1,5,1,0.171875
1,peak,60,14,33,13,6,,,3.89,407,615,319,296,189,0.022,0.0745,0.8888,0,0.9522,0.9595,0.9656,1,Finishing,0,0,107,1,0.090909091
2,peak,72,11,45,16,4,,,4.99,339,809,344,313,240,0.0263,0.0777,0.8356,0,0.9613,0.9161,0.9268,1,Cutting,0,0,73,1,0.052631579
3,peak,55,12,31,12,4,,,5.72,330,558,260,242,196,0.0321,0.0754,0.751,0,0.9589,0.9453,0.9554,1,Finishing,3,1,46,1,0.06779661
4,peak,78,17,44,17,2,,,6.11,606,911,465,457,268,0.0225,0.0202,0.9491,0,0.9458,0.9083,0.965,1,Finishing,3,1,189,1,0.025
5,peak,59,9,38,12,1,,,4.18,292,710,274,255,139,0.0186,0.0698,0.8757,0,0.9237,0.9133,0.9539,1,Cutting,3,1,116,1,0.016666667
6,peak,74,12,45,17,4,,,3.4,298,765,336,286,180,0.0226,0.0373,0.7222,0,0.9354,0.9278,0.9662,1,Cutting,5,1,106,1,0.051282051
0,peak,62,14,37,11,8,,,4.64,355,633,222,201,194,0.0343,0.1053,0.706,0,0.9782,0.8855,0.9466,1,Finishing,2,1,7,1,0.114285714
1,peak,80,15,50,15,3,,,0,339,665,344,316,282,0.0254,0.0672,0.8951,0,0.9205,0.8574,0.9203,1,Cutting,5,1,34,1,0.036144578
2,peak,58,13,35,10,8,,,3.08,307,448,205,194,213,0.0353,0.0611,0.7391,0,0.9797,0.856,0.9558,1,Finishing,4,1,-19,0,0.121212121
3,peak,65,10,40,15,4,,,4.26,298,630,312,262,208,0.0282,0.1167,0.7641,0,0.9658,0.8758,0.9509,1,Cutting,2,1,54,1,0.057971014
4,peak,68,15,39,14,4,,,2.38,390,728,319,283,238,0.0263,0.1146,0.8979,0,0.9584,0.9297,0.9204,1,Finishing,0,0,45,1,0.055555556
5,peak,53,11,32,10,3,,,0.52,218,549,225,209,111,0.0157,0.0405,0.8243,0,0.9438,0.9634,0.949,1,Cutting,0,0,98,1,0.053571429
6,peak,72,14,41,17,4,,,3.9,362,634,362,349,170,0.018,0.0396,0.7706,0,0.9474,0.9538,0.9335,1,Finishing,5,1,179,1,0.052631579
0,peak,70,14,40,16,8,,,4.63,407,702,369,342,250,0.0273,0.0798,0.8395,0,0.9316,0.9298,0.9327,1,Finishing,5,1,92,1,0.102564103
1,peak,54,10,33,11,5,,,2.16,291,528,282,265,169,0.0196,0.0627,0.9471,0,0.954,0.8659,0.9653,1,Cutting,4,1,96,1,0.084745763
2,peak,54,12,33,9,5,,,4.74,362,641,194,186,185,0.0329,0.0454,0.8352,0,0.9697,0.8909,0.9424,1,Finishing,0,0,1,1,0.084745763
3,peak,62,10,43,9,4,,,5.07,316,1008,231,222,218,0.0372,0.0454,0.8872,0,0.9656,0.9307,0.9317,1,Finishing,2,1,4,1,0.060606061
4,peak,66,10,45,11,4,,,5.33,287,875,230,208,205,0.0329,0.0959,0.7851,0,0.9806,0.878,0.9324,1,Finishing,0,0,3,1,0.057142857
5,peak,64,15,36,13,7,,,4.56,394,590,278,262,154,0.0203,0.0621,0.7567,0,0.9467,0.8668,0.9371,1,Finishing,3,1,108,1,0.098591549
6,peak,73,17,40,16,4,,,4.11,486,686,388,372,155,0.0152,0.0463,0.8571,0,0.9573,0.9326,0.9405,1,Finishing,2,1,217,1,0.051948052
0,peak,71,12,47,12,7,,,3.77,310,803,278,272,218,0.0302,0.0235,0.7826,0,0.9438,0.9786,0.9564,1,Finishing,5,1,54,1,0.08974359
1,peak,61,10,41,10,7,,,4.61,329,768,262,246,190,0.0286,0.0664,0.9073,0,0.9815,0.9243,0.9466,1,Finishing,4,1,56,1,0.102941176
2,peak,76,16,45,15,4,,,4.22,501,888,372,363,237,0.0227,0.0271,0.8967,0,0.988,0.8841,0.9244,1,Finishing,2,1,126,1,0.05
3,peak,74,12,48,14,9,,,3.27,289,684,294,261,259,0.0338,0.1044,0.7702,0,0.9345,0.9172,0.9005,1,Finishing,4,1,2,1,0.108433735
4,peak,71,12,42,17,4,,,1.33,333,785,426,313,255,0.0246,0.0475,0.92,0,0.9602,0.8539,0.9608,1,Cutting,5,1,58,1,0.053333333
5,peak,68,11,43,14,5,,,3.1,149,323,141,127,164,0.0384,0.1,0.4212,3.27,0.938,0.8577,0.9543,1,Finishing,0,0,-37,0,0.068493151
6,peak,54,12,32,10,5,,,3.41,303,537,221,203,106,0.0169,0.0924,0.7905,0,0.9616,0.8513,0.9572,1,Finishing,3,1,97,1,0.084745763
0,peak,73,16,41,16,10,,,3.79,460,898,395,371,266,0.0233,0.063,0.902,0,0.9351,0.9107,0.9735,1,Finishing,0,0,105,1,0.120481928
1,peak,70,13,41,16,7,,,7.6,475,978,400,387,226,0.0235,0.0366,0.9224,0,0.9209,0.8981,0.9025,1,Finishing,2,1,161,1,0.090909091
2,peak,69,10,45,14,9,,,4.14,277,737,269,260,238,0.0326,0.0341,0.7253,0,0.9793,0.919,0.9758,1,Cutting,5,1,22,1,0.115384615
3,peak,69,11,47,11,9,,,6.6,342,1008,249,222,257,0.0482,0.1195,0.822,0,0.9291,0.9586,0.9333,1,Finishing,2,1,-35,0,0.115384615
4,peak,64,12,41,11,3,,,2.68,285,580,241,229,240,0.0345,0.0542,0.7617,0,0.9787,0.8963,0.9744,1,Finishing,5,1,-11,0,0.044776119
5,peak,59,12,33,14,6,,,2.4,323,659,347,287,152,0.0164,0.1053,0.9201,0,0.9636,0.924,0.9559,1,Cutting,0,0,135,1,0.092307692
6,peak,74,15,46,13,2,,,1.59,368,720,315,294,161,0.0152,0.0683,0.8702,0,0.9527,0.8545,0.9873,1,Finishing,0,0,133,1,0.026315789
0,peak,69,14,42,13,8,,,6.22,435,976,288,280,257,0.0335,0.0309,0.814,0,0.951,0.9283,0.9532,1,Finishing,0,0,23,1,0.103896104
1,peak,64,9,40,15,7,,,3.4,263,657,362,243,237,0.0292,0.0559,0.8906,0,0.985,0.854,0.9785,1,Cutting,0,0,6,1,0.098591549
2,peak,73,11,44,18,5,,,6.39,316,813,339,280,228,0.0277,0.1084,0.7342,0.52,0.9643,0.859,0.9005,1,Cutting,0,0,52,1,0.064102564
3,peak,59,11,37,11,3,,,0,212,479,256,187,177,0.0245,0.0995,0.8744,0,0.9204,0.8631,0.9782,1,Cutting,0,0,10,1,0.048387097
4,peak,77,13,51,13,5,,,3.32,295,840,255,235,248,0.0384,0.0848,0.7055,0,0.9608,0.9595,0.9494,1,Finishing,2,1,-13,0,0.06097561
5,peak,73,16,43,14,4,,,4.88,511,854,354,339,198,0.0217,0.0484,0.901,0,0.9587,0.9176,0.9129,1,Finishing,3,1,141,1,0.051948052
6,peak,63,9,42,12,2,,,0,173,696,243,155,163,0.0307,0.0765,0.8167,0,0.9438,0.9723,0.9074,1,Cutting,0,0,-8,0,0.030769231
0,peak,51,9,33,9,7,,,7.72,306,741,179,162,165,0.0399,0.0961,0.7969,0,0.9643,0.9415,0.9004,1,Finishing,0,0,-3,0,0.120689655
1,peak,59,13,34,12,10,,,0,244,428,270,228,222,0.0272,0.0617,0.819,0,0.9278,0.9325,0.9694,1,Cutting,0,0,6,1,0.144927536
2,peak,51,11,30,10,5,,,6.99,388,629,244,238,193,0.0316,0.0285,0.8629,0,0.9717,0.891,0.958,1,Finishing,2,1,45,1,0.089285714
3,peak,71,12,43,16,8,,,0,260,761,394,234,238,0.0289,0.0664,0.9372,0,0.9222,0.9457,0.9297,1,Cutting,0,0,-4,0,0.101265823
4,peak,77,17,43,17,5,,,5.81,495,843,378,349,261,0.0275,0.0842,0.7956,0,0.9457,0.8736,0.9392,1,Finishing,5,1,88,1,0.06097561
5,peak,56,13,35,8,9,,,7.87,412,710,178,167,134,0.0343,0.0674,0.7381,0,0.983,0.9423,0.9844,1,Finishing,3,1,33,1,0.138461538
6,peak,52,11,30,11,10,,,5.32,298,614,231,208,116,0.0219,0.1106,0.7352,0,0.9636,0.9516,0.952,1,Finishing,4,1,92,1,0.161290323
0,peak,56,10,35,11,9,,,7.51,332,718,245,228,215,0.0333,0.0701,0.8243,0,0.9361,0.8558,0.9374,1,Finishing,0,0,13,1,0.138461538
1,peak,53,10,33,10,6,,,1.42,262,626,279,232,185,0.0225,0.1161,0.9244,0,0.9672,0.8678,0.9895,1,Finishing,4,1,47,1,0.101694915
2,peak,72,14,46,12,10,,,5.12,457,1125,307,272,241,0.0318,0.1153,0.9453,0,0.9333,0.953,0.9817,1,Finishing,0,0,31,1,0.12195122
3,peak,56,10,37,9,6,,,4.56,275,713,207,188,185,0.0335,0.1008,0.8247,0,0.9208,0.8512,0.9321,1,Finishing,4,1,3,1,0.096774194
4,peak,56,8,37,11,6,,,3.44,232,735,277,202,174,0.0278,0.1118,0.9387,0,0.9546,0.9167,0.9433,1,Cutting,0,0,28,1,0.096774194
5,peak,76,13,48,15,5,,,3.32,407,886,380,340,205,0.0208,0.1067,0.9436,0,0.9219,0.9592,0.9677,1,Cutting,2,1,135,1,0.061728395
6,peak,51,9,33,9,7,,,4.87,297,745,240,230,104,0.0173,0.0455,0.9231,0,0.9494,0.9514,0.9429,1,Finishing,5,1,126,1,0.120689655
0,peak,54,8,33,13,7,,,3.44,243,690,308,229,182,0.0277,0.0482,0.8817,0,0.9742,0.8958,0.9742,1,Cutting,2,1,47,1,0.114754098
1,peak,77,14,48,15,7,,,2.3,343,668,317,298,241,0.0232,0.0616,0.8094,0,0.9818,0.8567,0.9172,1,Finishing,0,0,57,1,0.083333333
2,peak,75,13,49,13,5,,,0.29,308,850,303,274,275,0.0309,0.0981,0.8886,0,0.9475,0.9268,0.9595,1,Cutting,4,1,-1,0,0.0625
3,peak,56,10,34,12,8,,,4.1,312,661,296,270,166,0.0194,0.0895,0.9431,0,0.9514,0.8707,0.9162,1,Finishing,0,0,104,1,0.125
4,peak,78,12,53,13,6,,,3.62,342,963,278,272,255,0.0304,0.0216,0.8405,0,0.9863,0.9145,0.9342,1,Finishing,0,0,17,1,0.071428571
5,peak,54,12,34,8,3,,,4.2,292,651,162,145,110,0.0283,0.1152,0.7129,0,0.9553,0.9434,0.9776,1,Finishing,4,1,35,1,0.052631579
6,peak,55,9,33,13,9,,,6.23,326,667,333,311,114,0.0142,0.0488,0.9127,0,0.9887,0.9316,0.9223,1,Finishing,4,1,197,1,0.140625
0,peak,58,13,33,12,8,,,1.28,267,515,265,257,221,0.0247,0.0316,0.7831,0,0.924,0.8986,0.985,1,Finishing,0,0,36,1,0.121212121
1,peak,69,12,44,13,7,,,5.62,396,889,292,276,237,0.0329,0.0598,0.8369,0,0.9885,0.9222,0.9171,1,Finishing,3,1,39,1,0.092105263
