total_workers,cutting_workers,sewing_workers,finishing_workers,absent_workers,cutting_output,sewing_output,finishing_output,final_output,daily_target,workflow_blocked,bottleneck_department,reallocated_workers,diversion_success,targeted_productivity_gain,target_achieved
151,53,83,15,9,2230,3410,420,420,439,1,finishing,11,0,-1,0
182,74,73,35,40,3075,2454,990,990,850,0,finishing,0,0,4,1
153,63,61,29,5,2732,2087,1106,1106,1259,1,finishing,1,0,-6,0
146,38,70,38,27,1281,2403,1154,1154,1250,0,finishing,0,0,0,0
160,59,55,46,37,2000,1577,1183,1183,1006,0,finishing,0,0,6,1
168,49,61,58,34,1648,1848,1688,1648,1682,1,cutting,5,0,0,0
181,74,86,21,15,3077,3122,585,585,616,1,finishing,1,1,5,0
234,78,88,68,57,3241,2826,1706,1706,1866,1,finishing,12,1,8,0
152,60,37,55,2,2539,1486,2128,1486,1587,1,sewing,3,0,6,0
173,54,71,48,32,2336,2600,1320,1320,1513,1,finishing,6,1,18,0
167,24,84,59,19,941,2708,1656,941,921,0,cutting,0,0,-5,1
130,26,55,49,8,1042,2038,2079,1042,1206,1,cutting,7,1,19,0
168,59,77,32,2,2812,2852,1173,1173,1052,0,finishing,0,0,4,1
131,43,70,18,25,1548,2805,486,486,519,1,finishing,1,0,-1,0
141,35,41,65,13,1246,1609,2052,1246,1199,0,cutting,0,0,-1,1
177,69,43,65,38,2282,1196,1737,1196,1055,0,sewing,0,0,-4,1
78,27,28,23,0,1161,1261,893,893,789,0,finishing,0,0,-4,1
193,67,78,48,7,3196,3050,1916,1916,1875,0,finishing,0,0,2,1
125,34,30,61,19,1332,1044,1731,1044,1046,1,sewing,8,0,-5,0
102,40,43,19,4,1632,1800,688,688,673,0,finishing,0,0,2,1
168,38,83,47,38,1276,2976,1141,1141,1186,1,finishing,7,1,11,0
181,46,68,67,29,1699,2431,2046,1699,1500,0,cutting,0,0,-4,1
167,63,85,19,5,3077,2930,566,566,686,1,finishing,9,1,7,0
186,46,70,70,42,1842,2075,2536,1842,1634,0,cutting,0,0,-2,1
131,42,38,51,32,1393,1036,1401,1036,994,0,sewing,0,0,-1,1
138,27,60,51,14,1183,2474,2097,1183,1387,1,cutting,0,0,4,0
148,73,59,16,11,2969,2457,569,569,560,0,finishing,0,0,-4,1
151,56,76,19,9,2612,3427,533,533,533,0,finishing,0,0,1,1
124,41,45,38,19,1779,1660,1270,1270,1088,0,finishing,0,0,-4,1
170,20,88,62,27,566,2988,2189,566,586,1,cutting,0,0,5,0
118,22,80,16,14,967,3409,463,463,475,1,finishing,0,0,-6,0
152,40,46,66,29,1638,1546,1816,1546,1698,1,sewing,7,1,14,0
165,34,67,64,10,1250,2700,2315,1250,1188,0,cutting,0,0,-1,1
139,66,43,30,6,2603,1507,1132,1132,1337,1,finishing,8,1,18,0
199,63,66,70,40,2248,1927,2147,1927,1991,1,sewing,2,0,1,0
92,22,32,38,9,781,1290,1541,781,789,1,cutting,12,1,18,1
162,78,49,35,38,3081,1155,742,742,717,0,finishing,0,0,-1,1
147,65,35,47,11,2428,1361,1974,1361,1386,1,sewing,7,1,14,0
159,63,31,65,21,2257,777,2370,777,733,0,sewing,0,0,4,1
158,78,44,36,5,3554,1511,1233,1233,1466,1,finishing,2,0,0,0
195,61,67,67,8,2795,2918,2670,2670,3084,1,finishing,6,0,-2,0
119,31,52,36,24,1120,1561,929,929,891,0,finishing,0,0,-5,1
138,52,29,57,21,2362,853,1986,853,745,0,sewing,0,0,5,1
176,69,46,61,28,2393,1329,2162,1329,1557,1,sewing,4,1,13,0
224,71,85,68,12,2934,3780,2909,2909,2887,0,finishing,0,0,0,1
155,52,78,25,12,2411,2623,742,742,771,1,finishing,0,0,2,0
147,74,40,33,5,3553,1437,1394,1394,1264,0,finishing,0,0,-3,1
191,72,82,37,1,3154,3243,1317,1317,1286,0,finishing,0,0,-3,1
107,21,65,21,26,720,2089,450,450,436,0,finishing,0,0,1,1
169,64,42,63,30,2523,988,1684,988,947,0,sewing,0,0,2,1
181,80,79,22,18,3140,2535,570,570,581,0,finishing,0,0,1,0
140,58,27,55,32,2302,572,1580,572,512,0,sewing,0,0,3,1
151,46,48,57,5,2039,1796,2480,1796,1855,1,sewing,0,0,1,0
134,22,74,38,16,872,2612,1054,872,815,0,cutting,0,0,-5,1
159,69,67,23,2,2962,2595,911,911,1081,1,finishing,3,1,6,0
165,65,83,17,18,2490,3380,519,519,462,0,finishing,0,0,0,1
188,72,85,31,2,3495,3117,1095,1095,1339,1,finishing,0,0,-1,0
185,47,76,62,28,2020,2522,2408,2020,2039,1,cutting,2,1,6,0
144,47,48,49,18,1827,1404,1756,1404,1303,0,sewing,0,0,0,1
148,30,81,37,28,887,3186,1023,887,980,1,cutting,2,1,16,0
199,43,90,66,47,1520,3266,1671,1520,1569,0,cutting,0,0,-5,0
144,35,71,38,24,1487,2101,1001,1001,1000,0,finishing,0,0,1,1
142,21,71,50,23,712,2913,1405,712,756,1,cutting,8,1,17,0
129,72,34,23,20,3148,1007,683,683,710,1,finishing,3,1,8,0
206,47,89,70,3,2333,3630,2419,2333,2266,0,cutting,0,0,-3,1
172,42,61,69,5,1701,2530,2601,1701,1512,0,cutting,0,0,2,1
170,25,89,56,10,1064,3580,1726,1064,1108,1,cutting,1,1,4,0
111,25,30,56,24,875,862,2033,862,880,1,sewing,5,1,13,0
172,50,56,66,43,1747,1492,2177,1492,1348,0,sewing,0,0,1,1
154,33,68,53,9,1313,2819,2091,1313,1634,1,cutting,9,0,-3,0
121,49,40,32,14,1907,1202,961,961,979,1,finishing,3,1,14,0
123,32,45,46,16,1246,1759,1573,1246,1122,0,cutting,0,0,1,1
139,35,52,52,22,1160,1631,1792,1160,1374,1,cutting,0,0,-5,0
120,47,42,31,23,1811,1268,766,766,707,0,finishing,0,0,-1,1
135,55,61,19,24,2207,2279,410,410,486,1,finishing,7,1,14,0
189,55,71,63,9,2161,2755,2287,2161,1875,0,cutting,0,0,-1,1
204,71,85,48,29,2565,3348,1283,1283,1428,1,finishing,5,1,20,0
212,73,90,49,31,3162,2941,1689,1689,1729,1,finishing,12,1,4,0
174,58,85,31,41,2350,3006,734,734,856,1,finishing,10,1,16,0
102,29,56,17,18,1281,1705,363,363,315,0,finishing,0,0,5,1
157,33,77,47,39,1221,2773,1477,1221,1059,0,cutting,0,0,-3,1
178,55,66,57,30,2177,2034,1564,1564,1749,1,finishing,12,1,12,0
172,59,86,27,15,2346,3054,1014,1014,1221,1,finishing,8,0,-1,0
148,55,60,33,7,2485,2371,1346,1346,1342,0,finishing,0,0,6,1
147,71,43,33,2,2983,1891,1161,1161,1149,0,finishing,0,0,1,1
150,33,50,67,34,1044,1465,1942,1044,987,0,cutting,0,0,-3,1
123,35,31,57,28,1272,815,1508,815,837,1,sewing,1,1,9,0
176,46,85,45,41,1468,3182,1148,1148,1196,0,finishing,0,0,3,0
89,34,29,26,13,1560,875,1007,875,988,1,sewing,5,1,4,0
113,39,38,36,9,1641,1461,1287,1287,1385,1,finishing,2,0,5,0
166,49,57,60,11,1795,2052,1962,1795,1954,1,cutting,7,1,20,0
116,40,36,40,21,1376,1289,1263,1263,1327,1,finishing,5,1,13,0
114,57,26,31,20,2237,634,1000,634,623,0,sewing,0,0,4,1
175,52,64,59,7,2394,2877,2024,2024,1972,0,finishing,0,0,1,1
174,29,83,62,38,864,2892,2228,864,1045,1,cutting,11,1,6,0
183,53,82,48,45,1808,2904,1108,1108,1363,1,finishing,3,0,2,0
145,48,39,58,13,2161,1388,2391,1388,1352,0,sewing,0,0,-4,1
174,52,78,44,36,1668,2509,1431,1431,1615,1,finishing,10,0,0,0
124,42,33,49,3,2145,1118,2156,1118,1009,0,sewing,0,0,6,1
144,28,78,38,24,974,3185,1105,974,949,0,cutting,0,0,2,1
119,28,69,22,5,1401,2646,670,670,815,1,finishing,8,1,17,0
194,54,73,67,14,2114,2602,2150,2114,2526,1,cutting,7,1,4,0
105,35,51,19,3,1621,2012,761,761,836,0,finishing,0,0,1,0
149,34,52,63,3,1358,2443,2111,1358,1582,1,cutting,6,0,-4,0
156,62,53,41,19,2427,1880,1399,1399,1517,1,finishing,1,1,16,0
194,70,65,59,26,2797,2062,1703,1703,1684,0,finishing,0,0,-3,1
148,39,43,66,29,1625,1256,2581,1256,1231,0,sewing,0,0,-3,1
123,36,51,36,20,1212,1692,1066,1066,1104,0,finishing,0,0,0,0
163,63,30,70,4,2519,1295,2819,1295,1305,1,sewing,1,0,-3,0
169,67,40,62,30,3048,1180,2149,1180,1167,0,sewing,0,0,-1,1
169,69,61,39,29,2819,1873,1051,1051,1061,0,finishing,0,0,5,0
143,50,65,28,23,1907,1905,945,945,995,1,finishing,12,1,8,0
128,32,67,29,24,1195,2134,841,841,939,1,finishing,12,1,19,0
156,49,46,61,22,1776,1631,2052,1631,1889,1,sewing,0,0,-6,0
174,73,34,67,42,2436,545,1763,545,531,0,sewing,0,0,-4,1
119,20,52,47,14,734,1961,1720,734,740,1,cutting,0,0,2,0
88,46,26,16,16,2020,788,411,411,421,1,finishing,3,0,-5,0
127,53,44,30,12,2333,1463,953,953,1015,1,finishing,4,1,11,0
130,39,35,56,2,1533,1375,2144,1375,1170,0,sewing,0,0,-4,1
182,25,88,69,27,893,2936,2724,893,1097,1,cutting,0,0,5,0
193,76,85,32,2,3871,3704,1094,1094,1118,1,finishing,1,1,8,0
162,68,75,19,19,2577,2503,595,595,619,1,finishing,3,1,6,0
139,52,69,18,6,2250,3064,596,596,739,1,finishing,1,1,18,0
142,51,54,37,35,2200,1561,1085,1085,1157,1,finishing,12,0,-2,0
162,29,73,60,40,763,2170,1699,763,742,0,cutting,0,0,1,1
123,43,59,21,4,1647,2321,767,767,750,0,finishing,0,0,-5,1
131,42,36,53,20,1853,922,1701,922,1101,1,sewing,4,1,9,0
161,63,73,25,8,2547,2643,740,740,655,0,finishing,0,0,-2,1
122,50,34,38,8,2458,1366,1347,1347,1355,1,finishing,0,0,0,0
180,41,73,66,21,1589,2561,2541,1589,1616,1,cutting,12,0,-1,0
141,31,75,35,18,1303,2871,1335,1303,1453,1,cutting,6,0,3,0
138,32,48,58,1,1642,1942,2356,1642,1631,0,cutting,0,0,5,1
159,24,77,58,31,679,2447,1655,679,614,0,cutting,0,0,0,1
159,24,82,53,30,784,2862,1929,784,888,0,cutting,0,0,-1,0
120,64,35,21,24,2405,1082,454,454,460,1,finishing,6,1,17,1
73,26,26,21,8,986,1022,729,729,797,1,finishing,11,1,20,0
114,29,69,16,15,1026,2508,533,533,518,0,finishing,0,0,-4,1
142,42,64,36,29,1714,2106,986,986,930,0,finishing,0,0,1,1
107,40,33,34,1,1973,1175,1453,1175,1203,1,sewing,4,1,9,0
164,41,79,44,14,1868,3125,1311,1311,1313,1,finishing,8,1,16,1
100,20,52,28,8,873,2220,804,804,774,0,finishing,0,0,-4,1
136,43,66,27,29,1425,2299,709,709,788,1,finishing,2,0,1,0
173,59,47,67,43,2346,1068,2156,1068,926,0,sewing,0,0,-5,1
121,35,64,22,5,1469,2230,752,752,764,1,finishing,9,1,9,0
147,55,46,46,18,2038,1459,1507,1459,1308,0,sewing,0,0,-6,1
120,51,42,27,26,1951,1297,795,795,802,1,finishing,3,0,-6,0
156,70,53,33,2,2929,2200,1073,1073,1104,1,finishing,2,1,12,0
189,72,51,66,3,3310,2072,2570,2072,2024,0,sewing,0,0,-2,1
166,38,59,69,32,1553,1957,1885,1553,1874,1,cutting,11,0,-4,0
162,46,73,43,4,2109,3335,1318,1318,1307,0,finishing,0,0,-1,1
171,49,87,35,37,1521,3183,983,983,1122,1,finishing,2,1,16,0
179,33,79,67,13,1347,2850,2192,1347,1320,0,cutting,0,0,1,1
196,70,68,58,48,2243,1663,1837,1663,1629,0,sewing,0,0,-4,1
146,48,83,15,27,1714,3098,223,223,219,0,finishing,0,0,-2,1
127,25,71,31,5,1036,3219,974,974,968,0,finishing,0,0,5,1
164,68,54,42,41,2278,1271,996,996,923,0,finishing,0,0,2,1
159,63,81,15,0,3007,3680,672,672,658,0,finishing,0,0,-5,1
128,34,74,20,6,1301,2818,655,655,677,1,finishing,11,0,2,0
136,56,26,54,10,2384,970,2010,970,876,0,sewing,0,0,4,1
120,48,52,20,28,1615,1781,466,466,487,1,finishing,0,0,-2,0
126,61,35,30,18,2787,1178,1067,1067,1060,0,finishing,0,0,2,1
175,58,90,27,25,2191,2746,869,869,998,1,finishing,10,0,-6,0
131,43,65,23,24,1851,2307,567,567,681,1,finishing,1,1,4,0
105,36,52,17,1,1846,2057,583,583,701,1,finishing,11,1,8,0
106,37,35,34,2,1670,1289,1432,1289,1290,1,sewing,11,1,13,1
205,64,80,61,15,2367,2605,2081,2081,2119,1,finishing,12,0,-6,0
166,65,42,59,0,2619,1988,2232,1988,2373,1,sewing,0,0,6,0
195,75,59,61,7,3611,1927,2484,1927,1653,0,sewing,0,0,5,1
136,56,34,46,29,2212,730,1629,730,635,0,sewing,0,0,6,1
94,26,39,29,23,947,1003,987,947,863,0,cutting,0,0,0,1
148,78,44,26,2,3567,2058,1068,1068,1063,0,finishing,0,0,0,1
175,78,65,32,4,3542,2282,1243,1243,1092,0,finishing,0,0,2,1
117,22,76,19,28,667,2428,469,469,432,0,finishing,0,0,-6,1
126,43,50,33,19,1885,1570,994,994,1242,1,finishing,9,1,11,0
95,29,25,41,0,1196,971,1746,971,1204,0,sewing,0,0,4,0
129,44,64,21,13,1862,2202,672,672,658,0,finishing,0,0,5,1
90,37,36,17,7,1820,1362,607,607,636,0,finishing,0,0,-5,0
149,52,42,55,25,1796,1300,1753,1300,1426,1,sewing,7,1,14,0
154,40,82,32,14,1444,2799,1167,1167,1146,0,finishing,0,0,-4,1
167,48,84,35,26,1666,2848,1163,1163,1171,1,finishing,0,0,6,0
193,63,63,67,45,2483,1486,2297,1486,1280,0,sewing,0,0,-3,1
164,42,75,47,3,1994,2785,2108,1994,1799,0,cutting,0,0,1,1
132,55,56,21,29,1892,1939,413,413,392,0,finishing,0,0,-3,1
145,28,50,67,25,950,1670,2380,950,941,0,cutting,0,0,-5,1
81,21,33,27,20,707,859,915,707,789,0,cutting,0,0,1,0
120,23,46,51,13,990,1620,1461,990,1073,1,cutting,0,0,-2,0
109,48,44,17,19,2053,1347,413,413,418,0,finishing,0,0,-2,0
127,44,42,41,12,1926,1670,1282,1282,1485,0,finishing,0,0,0,0
185,70,70,45,34,3034,2134,1346,1346,1191,0,finishing,0,0,-6,1
109,40,53,16,25,1662,1462,403,403,415,1,finishing,2,0,-3,0
132,37,32,63,14,1566,1241,2113,1241,1549,1,sewing,0,0,-1,0
193,71,70,52,1,3397,2724,2002,2002,1948,0,finishing,0,0,6,1
213,76,88,49,19,2912,2762,1357,1357,1318,0,finishing,0,0,1,1
141,20,67,54,12,837,2403,1665,837,1024,0,cutting,0,0,-4,0
164,57,43,64,7,2791,1841,2753,1841,1924,1,sewing,0,0,-2,0
107,40,42,25,23,1794,1442,843,843,829,0,finishing,0,0,2,1
163,64,70,29,37,2717,2122,738,738,644,0,finishing,0,0,-6,1
224,80,75,69,49,3502,1826,2146,1826,2270,1,sewing,8,0,5,0
116,24,55,37,10,887,2366,1065,887,1044,1,cutting,5,0,5,0
124,24,69,31,6,1105,2323,1097,1097,1078,0,finishing,0,0,0,1
161,51,73,37,34,1859,2644,1129,1129,1163,1,finishing,1,0,-1,0
93,36,38,19,10,1372,1334,655,655,682,0,finishing,0,0,3,0
205,59,86,60,1,2598,3710,2346,2346,2285,0,finishing,0,0,-1,1
123,33,49,41,22,1281,1878,1333,1281,1421,0,cutting,0,0,0,0
167,56,87,24,3,2410,3438,826,826,966,1,finishing,0,0,-4,0
142,60,62,20,30,2640,1877,395,395,404,0,finishing,0,0,2,0
130,44,48,38,24,1640,1529,1052,1052,1039,0,finishing,0,0,-2,1
112,56,32,24,24,2387,777,680,680,770,1,finishing,0,0,-6,0
214,73,74,67,33,2850,2489,2494,2489,2589,1,sewing,0,0,5,0
162,22,89,51,33,688,3261,1650,688,652,0,cutting,0,0,-4,1
154,80,46,28,12,3062,1637,1120,1120,1175,1,finishing,5,0,5,0
131,78,33,20,24,3296,959,557,557,581,0,finishing,0,0,5,0
159,59,78,22,26,2125,2809,581,581,621,1,finishing,5,1,15,0
184,76,77,31,24,3301,2814,890,890,803,0,finishing,0,0,3,1
151,58,76,17,25,2623,2511,335,335,413,1,finishing,0,0,6,0
135,39,64,32,31,1600,2222,1025,1025,911,0,finishing,0,0,5,1
146,48,66,32,26,1951,1938,915,915,1035,1,finishing,6,1,20,0
134,70,45,19,19,3163,1466,583,583,592,1,finishing,4,1,11,1
123,22,83,18,29,645,2575,355,355,355,0,finishing,0,0,-5,0
121,63,28,30,11,2735,965,1199,965,978,1,sewing,5,1,6,0
105,38,28,39,1,1530,1176,1734,1176,1387,1,sewing,7,1,4,0
147,50,41,56,11,2227,1262,1790,1262,1402,1,sewing,7,1,15,0
134,49,57,28,29,1773,1816,787,787,763,0,finishing,0,0,4,1
195,73,72,50,41,2917,2049,1530,1530,1525,0,finishing,0,0,-2,1
196,60,66,70,17,2332,2593,2820,2332,2027,0,cutting,0,0,6,1
133,35,32,66,25,1370,914,2408,914,959,1,sewing,7,1,10,0
152,41,53,58,34,1548,1545,2117,1545,1535,0,sewing,0,0,-4,1
154,73,48,33,6,3210,2041,1308,1308,1364,1,finishing,11,0,-1,0
139,34,64,41,21,1252,2320,1293,1252,1072,0,cutting,0,0,4,1
136,57,34,45,12,2430,1338,1500,1338,1146,0,sewing,0,0,-4,1
114,28,50,36,13,1295,2092,1478,1295,1245,0,cutting,0,0,-4,1
150,69,35,46,21,2997,948,1580,948,839,0,sewing,0,0,6,1
166,69,46,51,10,3005,1876,1503,1503,1534,1,finishing,7,0,2,0
119,32,72,15,28,1062,2739,230,230,270,1,finishing,6,0,-5,0
185,44,89,52,19,1613,3688,1620,1613,1523,0,cutting,0,0,3,1
163,53,68,42,8,2182,3030,1415,1415,1377,0,finishing,0,0,6,1
101,45,27,29,7,2119,860,1107,860,845,0,sewing,0,0,-1,1
123,36,50,37,22,1355,1486,1184,1184,1406,1,finishing,0,0,-6,0
120,62,36,22,26,2578,1022,663,663,706,1,finishing,11,0,-2,0
138,36,84,18,6,1728,3791,727,727,744,1,finishing,0,0,6,0
121,76,30,15,27,2795,775,244,244,302,1,finishing,6,1,9,0
143,27,76,40,29,836,2482,1368,836,986,1,cutting,0,0,5,0
167,66,32,69,10,2524,1309,2457,1309,1315,1,sewing,10,0,4,0
162,76,41,45,31,2731,1113,1104,1104,983,0,finishing,0,0,5,1
185,75,53,57,21,3168,1919,2002,1919,1972,1,sewing,11,1,5,0
112,20,45,47,27,623,1351,1266,623,694,1,cutting,9,0,4,0
187,44,76,67,15,1603,2815,2431,1603,1466,0,cutting,0,0,-1,1
177,27,88,62,41,650,2775,1526,650,673,1,cutting,11,0,2,0
162,55,51,56,29,2462,1485,1479,1479,1344,0,finishing,0,0,2,1
214,69,85,60,42,2542,2702,1510,1510,1464,0,finishing,0,0,-1,1
185,73,62,50,33,2810,1703,1781,1703,1763,1,sewing,5,1,10,0
130,27,75,28,29,990,2273,701,701,742,1,finishing,2,1,18,0
161,49,89,23,31,1598,3367,536,536,545,1,finishing,3,1,9,1
128,66,41,21,24,2832,1317,487,487,552,1,finishing,4,0,-1,0
186,38,82,66,8,1437,3352,2770,1437,1490,1,cutting,12,1,10,0
137,32,51,54,18,1333,2016,1567,1333,1659,1,cutting,11,0,-5,0
188,68,70,50,30,2815,2690,1666,1666,2047,1,finishing,7,1,20,0
93,26,28,39,4,968,939,1292,939,1170,1,sewing,0,0,-6,0
154,64,62,28,34,2153,2133,567,567,679,1,finishing,9,1,20,0
190,70,61,59,42,2319,1691,1703,1691,2007,1,sewing,0,0,5,0
140,36,50,54,28,1438,1776,1866,1438,1481,1,cutting,12,1,13,0
153,48,47,58,4,1909,1675,2149,1675,1682,1,sewing,0,0,3,0
146,74,57,15,21,3072,2261,275,275,321,1,finishing,11,0,6,0
145,56,70,19,20,2313,2891,491,491,531,1,finishing,6,0,-3,0
165,62,67,36,23,2400,2696,1178,1178,1195,1,finishing,2,1,18,1
108,35,56,17,21,1511,1848,461,461,407,0,finishing,0,0,5,1
114,38,28,48,26,1561,700,1542,700,695,0,sewing,0,0,4,1
145,32,66,47,5,1589,2325,2039,1589,1542,0,cutting,0,0,-5,1
155,33,52,70,27,1341,1475,2630,1341,1606,1,cutting,2,1,8,0
164,21,83,60,21,616,2591,1764,616,529,0,cutting,0,0,-3,1
177,78,58,41,24,3190,1903,1181,1181,1156,0,finishing,0,0,-6,1
157,61,33,63,37,2009,779,1839,779,773,0,sewing,0,0,4,1
108,39,36,33,24,1682,1022,1100,1022,889,0,sewing,0,0,-3,1
168,28,75,65,34,842,2572,1895,842,1046,1,cutting,1,1,8,0
72,27,30,15,18,1066,913,442,442,418,0,finishing,0,0,5,1
135,42,52,41,32,1359,1389,1256,1256,1086,0,finishing,0,0,4,1
171,71,31,69,35,2800,667,2027,667,575,0,sewing,0,0,5,1
180,57,87,36,22,2069,3367,945,945,984,1,finishing,10,1,8,0
193,56,71,66,20,2622,2254,2081,2081,2481,1,finishing,6,0,5,0
171,41,86,44,28,1462,2832,1377,1377,1279,0,finishing,0,0,-2,1
165,74,42,49,12,2959,1717,1432,1432,1220,0,finishing,0,0,2,1
155,60,28,67,37,2351,537,1858,537,474,0,sewing,0,0,2,1
132,50,44,38,25,1809,1478,1270,1270,1156,0,finishing,0,0,2,1
138,25,75,38,32,648,2278,1289,648,769,1,cutting,0,0,-4,0
136,31,43,62,30,1227,1036,2195,1036,916,0,sewing,0,0,-3,1
121,22,51,48,29,736,1498,1750,736,778,1,cutting,0,0,2,0
188,60,60,68,47,2042,1623,1760,1623,1621,0,sewing,0,0,4,1
159,77,34,48,16,3158,1260,1660,1260,1309,1,sewing,10,0,-4,0
123,48,46,29,2,2169,1744,935,935,867,0,finishing,0,0,-5,1
157,62,54,41,21,2740,1833,1301,1301,1133,0,finishing,0,0,0,1
94,21,56,17,4,920,1994,631,631,583,0,finishing,0,0,-6,1
114,30,58,26,16,1336,2161,845,845,797,0,finishing,0,0,4,1
153,72,61,20,13,3055,2682,731,731,700,0,finishing,0,0,3,1
131,29,48,54,32,875,1500,1581,875,890,1,cutting,2,0,2,0
222,75,89,58,26,3420,3313,1665,1665,1947,1,finishing,2,0,4,0
117,28,25,64,21,1083,660,2062,660,606,0,sewing,0,0,-3,1
231,80,86,65,49,2946,2703,2097,2097,2494,0,finishing,0,0,-4,0
186,36,86,64,14,1674,2813,2338,1674,1658,0,cutting,0,0,-6,1
141,65,25,51,33,2260,375,1672,375,417,1,sewing,0,0,4,0
145,57,57,31,34,2152,1642,716,716,859,1,finishing,8,0,2,0
172,55,86,31,19,2350,3497,935,935,899,0,finishing,0,0,-5,1
164,67,54,43,10,2561,2055,1671,1671,1959,1,finishing,0,0,0,0
151,60,25,66,5,2922,933,2535,933,824,0,sewing,0,0,-1,1
115,25,29,61,12,1122,950,2310,950,926,0,sewing,0,0,-6,1
182,80,47,55,31,3222,1252,1833,1252,1386,0,sewing,0,0,3,0
160,52,54,54,10,2371,1951,2031,1951,2082,1,sewing,11,1,10,0
141,53,26,62,4,2645,1042,2494,1042,1059,1,sewing,4,1,10,0
176,49,76,51,0,2041,3017,1611,1611,1430,0,finishing,0,0,-5,1
192,71,90,31,34,3111,3153,848,848,985,1,finishing,8,1,4,0
120,50,39,31,2,2167,1756,1032,1032,1248,1,finishing,9,0,-2,0
116,35,61,20,12,1517,2547,529,529,605,1,finishing,5,0,5,0
158,63,49,46,12,2477,1645,1461,1461,1400,0,finishing,0,0,3,1
