total_workers,cutting_workers,sewing_workers,finishing_workers,cutting_attendance,sewing_attendance,finishing_attendance,cutting_output,sewing_output,finishing_output,final_output,daily_target,workflow_blocked,bottleneck_department,reallocated_workers,diversion_success,targeted_productivity_gain,target_achieved
91,25,42,24,20,37,17,957,1291,613,613,614,1,finishing,10,1,4,1
95,21,44,30,16,41,29,633,1938,1072,633,568,0,cutting,0,0,3,1
161,58,39,64,45,32,44,2074,1504,1700,1504,1692,1,sewing,0,0,3,0
141,64,56,21,53,54,14,2604,2263,428,428,437,0,finishing,0,0,4,0
136,41,26,69,34,22,47,1498,859,2038,859,843,0,sewing,0,0,-4,1
179,66,59,54,63,59,50,2804,2688,1944,1944,1714,0,finishing,0,0,-5,1
149,37,82,30,37,78,28,1722,3065,852,852,925,1,finishing,6,0,3,0
174,64,60,50,44,52,38,1724,2292,1418,1418,1684,1,finishing,1,0,-3,0
135,45,56,34,41,51,27,1829,2113,982,982,1096,1,finishing,5,0,5,0
108,26,49,33,21,40,23,886,1756,733,733,628,0,finishing,0,0,-2,1
160,64,41,55,59,27,35,2716,1095,1281,1095,938,0,sewing,0,0,1,1
100,27,33,40,25,20,35,1170,695,1128,695,691,0,sewing,0,0,-3,1
158,27,78,53,27,60,50,1169,2803,1723,1169,1174,1,cutting,0,0,5,1
132,26,51,55,21,38,37,844,1384,1151,844,766,0,cutting,0,0,3,1
129,50,62,17,42,46,16,1762,2117,497,497,439,0,finishing,0,0,6,1
164,22,80,62,20,64,40,785,3037,1701,785,821,1,cutting,5,1,9,0
163,50,81,32,40,75,30,1975,3567,1111,1111,1106,0,finishing,0,0,-5,1
178,53,71,54,52,62,49,2529,2284,1873,1873,2130,1,finishing,0,0,4,0
173,58,55,60,45,42,56,1718,1667,1868,1667,1788,1,sewing,3,1,13,0
152,52,59,41,51,50,33,2264,1801,1084,1084,1116,1,finishing,0,0,6,0
184,70,78,36,65,63,36,2472,2782,1532,1532,1566,1,finishing,8,0,2,0
162,50,73,39,39,58,25,1550,2755,874,874,838,0,finishing,0,0,-5,1
151,53,83,15,41,75,15,1933,2712,555,555,620,1,finishing,6,1,16,0
197,40,87,70,36,54,64,1402,2313,2804,1402,1681,1,cutting,0,0,4,0
145,65,37,43,50,31,27,1932,1399,928,928,910,0,finishing,0,0,2,1
119,46,48,25,34,30,25,1706,1280,840,840,906,1,finishing,5,1,18,0
141,77,30,34,67,18,31,2888,645,1352,645,583,0,sewing,0,0,-3,1
147,28,71,48,27,71,39,1339,2669,1652,1339,1385,1,cutting,2,1,6,0
152,29,53,70,26,48,56,1020,1897,1902,1020,915,0,cutting,0,0,5,1
173,63,58,52,56,54,44,2212,2012,1336,1336,1552,1,finishing,0,0,-5,0
203,60,84,59,51,76,41,2037,3590,1417,1417,1385,0,finishing,0,0,2,1
146,28,74,44,24,65,41,1109,2871,1774,1109,1149,1,cutting,5,0,-1,0
157,33,81,43,26,71,30,1345,2779,1305,1305,1272,0,finishing,0,0,-2,1
141,32,40,69,29,26,65,1188,1116,2896,1116,996,0,sewing,0,0,-4,1
140,70,51,19,66,36,15,3259,1341,624,624,729,1,finishing,3,1,9,0
78,27,28,23,18,21,17,832,718,577,577,522,0,finishing,0,0,-5,1
145,67,33,45,60,31,40,2711,1101,1502,1101,1165,1,sewing,9,0,4,0
98,21,32,45,20,25,32,897,1168,995,897,833,0,cutting,0,0,-5,1
142,28,60,54,28,53,45,1213,2245,1549,1213,1218,1,cutting,0,0,4,0
155,61,52,42,56,38,40,2393,1533,1449,1449,1312,0,finishing,0,0,4,1
132,36,72,24,35,72,22,1362,3286,690,690,652,0,finishing,0,0,6,1
112,28,32,52,27,27,43,1279,1073,1853,1073,1217,1,sewing,0,0,-2,0
159,58,64,37,43,56,32,1762,2418,1067,1067,1024,0,finishing,0,0,-1,1
138,27,60,51,21,49,50,1084,2227,1960,1084,1053,0,cutting,0,0,4,1
148,73,59,16,56,43,15,2725,2016,528,528,458,0,finishing,0,0,4,1
102,45,33,24,42,29,15,1649,1201,534,534,524,0,finishing,0,0,-2,1
156,45,78,33,32,71,21,1648,2584,928,928,951,1,finishing,2,0,3,0
120,45,35,40,44,25,37,1881,966,1203,966,945,0,sewing,0,0,2,1
138,32,69,37,32,67,26,1321,2415,856,856,882,1,finishing,0,0,6,0
192,60,88,44,60,80,38,3005,3422,1226,1226,1112,0,finishing,0,0,-2,1
182,70,60,52,50,47,49,1951,1901,1497,1497,1486,0,finishing,0,0,4,1
125,61,47,17,49,42,14,2221,1786,496,496,559,1,finishing,1,1,14,0
112,24,67,21,24,61,19,1007,2692,757,757,927,1,finishing,3,1,13,0
159,61,75,23,61,67,15,2582,2631,628,628,743,1,finishing,11,1,6,0
187,61,79,47,53,48,41,2243,2271,1440,1440,1567,1,finishing,0,0,-2,0
158,74,37,47,68,23,40,3418,981,1558,981,856,0,sewing,0,0,5,1
176,69,46,61,62,28,52,2672,1234,2316,1234,1271,1,sewing,0,0,-3,0
192,39,85,68,30,74,65,1537,3535,2400,1537,1382,0,cutting,0,0,2,1
158,46,45,67,35,31,51,1355,1262,1813,1262,1504,1,sewing,0,0,-5,0
145,68,45,32,61,43,22,3027,1517,960,960,1177,1,finishing,7,1,11,0
117,44,35,38,33,21,29,1684,960,1152,960,1034,1,sewing,12,1,19,0
93,48,25,20,33,19,16,1639,791,654,654,640,0,finishing,0,0,-2,1
120,35,63,22,24,44,20,1126,1879,618,618,710,1,finishing,10,0,-4,0
132,38,79,15,35,69,10,1609,2526,400,400,399,0,finishing,0,0,2,1
208,54,89,65,53,88,42,2303,3571,1660,1660,1827,0,finishing,0,0,6,0
123,24,69,30,17,65,28,820,2512,858,820,848,1,cutting,8,1,19,0
174,60,48,66,46,30,64,2247,1212,2201,1212,1061,0,sewing,0,0,-6,1
151,40,64,47,34,64,47,1517,2208,1866,1517,1459,0,cutting,0,0,-6,1
174,75,67,32,55,65,25,2426,2574,914,914,1021,1,finishing,6,1,20,0
133,37,35,61,31,22,52,1439,1001,1985,1001,861,0,sewing,0,0,4,1
145,38,64,43,35,60,40,1411,2412,1468,1411,1738,1,cutting,11,1,5,0
138,24,76,38,24,55,24,959,2337,1001,959,823,0,cutting,0,0,6,1
170,61,71,38,54,60,24,2509,2610,1061,1061,1093,1,finishing,7,0,-2,0
90,35,39,16,35,28,13,1583,1310,412,412,490,1,finishing,12,1,19,0
95,32,40,23,23,38,16,1163,1528,501,501,610,1,finishing,2,1,13,0
209,77,63,69,58,59,66,2956,2532,2765,2532,2480,0,sewing,0,0,-3,1
142,70,42,30,64,25,24,2928,979,1009,979,997,0,sewing,0,0,-2,0
179,45,86,48,37,77,33,1470,2959,1026,1026,1037,1,finishing,9,1,9,0
152,69,41,42,64,25,30,2896,956,972,956,1046,1,sewing,5,1,12,0
115,32,60,23,32,45,23,1454,1846,748,748,808,1,finishing,10,0,3,0
70,22,28,20,15,26,17,706,1163,616,616,622,1,finishing,5,1,16,1
141,39,83,19,38,52,14,1677,2120,462,462,459,0,finishing,0,0,5,1
149,40,69,40,30,65,31,1356,2306,1042,1042,946,0,finishing,0,0,-4,1
90,26,31,33,24,31,30,1052,1471,1306,1052,1301,1,cutting,0,0,-4,0
185,51,90,44,50,73,43,1916,3448,1616,1616,1766,1,finishing,0,0,1,0
176,58,85,33,57,51,22,2509,2364,900,900,1010,1,finishing,4,1,13,0
145,24,74,47,23,68,47,964,3253,1889,964,941,0,cutting,0,0,0,1
161,43,68,50,35,64,36,1427,2632,1350,1350,1171,0,finishing,0,0,-1,1
204,71,85,48,63,60,47,2517,2822,1634,1634,1665,1,finishing,9,1,19,0
173,65,63,45,45,48,39,2134,2290,1511,1511,1805,1,finishing,0,0,1,0
171,54,68,49,48,61,39,2233,2238,1314,1314,1298,0,finishing,0,0,-2,1
190,69,61,60,54,58,54,2291,2255,2376,2255,2491,1,sewing,7,1,16,0
205,72,69,64,54,50,42,2269,2199,1478,1478,1463,0,finishing,0,0,1,1
150,33,50,67,31,38,60,1480,1365,2354,1365,1350,0,sewing,0,0,4,1
185,77,53,55,60,32,38,2627,1409,1197,1197,1258,1,finishing,7,1,19,0
163,50,50,63,44,40,49,2069,1868,1535,1535,1554,1,finishing,3,1,9,0
176,79,29,68,67,29,59,2720,1290,2541,1290,1102,0,sewing,0,0,-2,1
130,56,38,36,48,36,33,2189,1472,1454,1454,1662,1,finishing,0,0,-4,0
205,66,83,56,54,60,36,2608,2704,1386,1386,1503,1,finishing,7,1,6,0
108,45,37,26,33,37,21,1686,1261,750,750,743,0,finishing,0,0,-1,1
96,39,26,31,37,20,31,1528,866,1146,866,813,0,sewing,0,0,5,1
192,69,64,59,51,58,47,2200,2151,2084,2084,2097,1,finishing,12,1,19,1
183,68,52,63,54,52,59,2712,1827,2165,1827,1946,1,sewing,0,0,2,0
169,45,57,67,31,57,49,1428,1974,1723,1428,1398,0,cutting,0,0,-5,1
181,79,85,17,64,77,12,3120,3443,536,536,537,1,finishing,7,1,8,1
152,61,69,22,47,58,20,2133,2563,666,666,568,0,finishing,0,0,-2,1
177,49,79,49,46,61,38,2044,2206,1247,1247,1500,0,finishing,0,0,4,0
103,46,27,30,35,17,20,1621,684,801,684,751,0,sewing,0,0,1,0
149,34,52,63,23,35,56,1193,1304,2449,1193,1212,1,cutting,4,0,-4,0
156,62,53,41,52,39,27,2381,1649,1107,1107,1038,0,finishing,0,0,2,1
119,51,31,37,47,30,32,1995,1194,1031,1031,1062,1,finishing,5,1,8,0
173,71,84,18,66,76,17,3022,2726,571,571,533,0,finishing,0,0,1,1
166,74,72,20,68,66,16,2633,2592,625,625,537,0,finishing,0,0,6,1
165,68,52,45,53,41,38,2724,1402,1674,1402,1504,1,sewing,4,1,10,0
150,45,55,50,36,42,44,1602,1809,1523,1523,1584,1,finishing,12,1,14,0
167,78,51,38,64,43,24,2936,1595,772,772,750,0,finishing,0,0,3,1
177,66,78,33,50,58,26,2061,2434,875,875,914,1,finishing,8,1,19,0
156,49,46,61,45,32,43,2163,1306,1881,1306,1333,0,sewing,0,0,-6,0
174,73,34,67,72,20,67,2742,718,2643,718,624,0,sewing,0,0,-3,1
173,52,83,38,37,79,34,1658,2693,1301,1301,1195,0,finishing,0,0,-2,1
131,54,61,16,53,58,15,2333,2735,490,490,565,1,finishing,5,1,12,0
165,70,75,20,60,75,19,2665,2805,768,768,735,0,finishing,0,0,-5,1
110,61,29,20,54,23,19,2469,800,572,572,523,0,finishing,0,0,0,1
179,61,67,51,45,56,34,1854,2610,1373,1373,1361,0,finishing,0,0,-5,1
172,63,60,49,62,57,32,2511,2616,967,967,840,0,finishing,0,0,5,1
166,72,75,19,59,50,15,2710,2294,602,602,602,0,finishing,0,0,5,1
110,28,35,47,24,21,33,1058,960,1158,960,1191,1,sewing,1,1,18,0
142,51,54,37,47,45,26,2233,1946,813,813,840,1,finishing,0,0,-4,0
150,44,44,62,36,36,51,1421,1226,1765,1226,1215,0,sewing,0,0,-4,1
115,25,48,42,24,45,40,946,1586,1532,946,976,1,cutting,0,0,0,0
140,44,35,61,44,29,46,2024,1054,1642,1054,937,0,sewing,0,0,1,1
87,29,33,25,26,23,22,1097,1034,779,779,930,1,finishing,8,0,-2,0
131,20,75,36,20,64,29,985,2471,1015,985,1203,1,cutting,0,0,-1,0
153,58,50,45,50,35,41,2578,1332,1657,1332,1353,1,sewing,7,1,10,0
163,57,48,58,56,28,51,2867,1034,2140,1034,1100,1,sewing,11,1,13,0
149,35,57,57,26,56,50,1275,1961,2243,1275,1277,1,cutting,12,1,5,1
200,70,71,59,66,61,58,3352,2167,1955,1955,2117,1,finishing,11,1,16,0
200,68,67,65,60,43,42,2362,1595,1730,1595,1634,1,sewing,8,1,20,0
114,29,69,16,27,44,12,1183,2088,380,380,409,1,finishing,4,1,15,0
130,50,37,43,49,32,29,2067,1450,920,920,1085,1,finishing,0,0,5,0
132,35,47,50,26,38,49,1143,1537,2056,1143,1125,0,cutting,0,0,4,1
138,47,75,16,38,59,14,1672,2009,465,465,437,0,finishing,0,0,6,1
128,24,38,66,24,27,53,1021,1090,1798,1021,1179,1,cutting,10,1,7,0
181,42,70,69,36,61,49,1778,2676,1688,1688,1648,0,finishing,0,0,-4,1
110,40,40,30,32,27,21,1383,971,752,752,764,1,finishing,9,1,9,0
147,55,46,46,47,31,34,1992,1249,1047,1047,1016,0,finishing,0,0,-4,1
156,32,74,50,30,64,47,1311,2616,1910,1311,1289,0,cutting,0,0,3,1
107,21,53,33,14,39,24,637,1417,884,637,766,1,cutting,0,0,-5,0
157,37,71,49,37,43,45,1689,2057,1419,1419,1703,1,finishing,8,0,-5,0
152,48,40,64,40,30,64,1849,1167,2602,1167,1147,0,sewing,0,0,-4,1
188,70,51,67,55,31,61,2360,1175,2322,1175,1106,0,sewing,0,0,-2,1
184,56,59,69,55,56,47,2194,2492,1700,1700,1506,0,finishing,0,0,4,1
99,28,41,30,21,34,22,1021,1477,821,821,814,0,finishing,0,0,0,1
145,44,82,19,40,54,18,1808,2046,792,792,828,1,finishing,0,0,6,0
171,74,36,61,65,32,41,3194,1266,1825,1266,1454,1,sewing,9,1,19,0
196,70,68,58,50,41,40,2338,1874,1209,1209,1307,1,finishing,7,0,5,0
175,78,41,56,63,29,44,2476,1132,1374,1132,1335,0,sewing,0,0,4,0
135,39,54,42,37,34,30,1406,1382,959,959,899,0,finishing,0,0,-6,1
155,20,68,67,14,67,56,668,2726,1872,668,637,0,cutting,0,0,-5,1
146,40,72,34,30,55,34,1481,2543,1347,1347,1432,1,finishing,3,1,10,0
145,60,44,41,56,32,28,2830,1150,891,891,998,1,finishing,4,0,-5,0
160,35,61,64,35,36,62,1759,1327,2424,1327,1195,0,sewing,0,0,4,1
124,23,55,46,22,36,36,989,1523,1365,989,1233,1,cutting,0,0,3,0
166,46,71,49,42,47,46,2157,2104,1391,1391,1229,0,finishing,0,0,-6,1
176,79,32,65,67,27,51,3135,1107,1847,1107,1180,1,sewing,5,0,-5,0
169,52,51,66,40,47,52,1738,2015,2210,1738,1847,1,cutting,4,0,-5,0
181,79,80,22,69,51,18,3265,2203,587,587,509,0,finishing,0,0,-6,1
155,30,88,37,29,85,36,1435,3198,1280,1280,1567,1,finishing,0,0,-6,0
152,41,79,32,36,51,24,1727,2145,747,747,746,0,finishing,0,0,1,1
158,74,46,38,56,35,36,2208,1471,1470,1470,1346,0,finishing,0,0,-6,1
130,74,26,30,52,22,24,2254,794,1055,794,921,1,sewing,7,0,-3,0
143,46,65,32,45,41,29,1944,1682,1262,1262,1204,0,finishing,0,0,-6,1
122,45,33,44,44,23,37,1873,960,1114,960,886,0,sewing,0,0,-2,1
167,67,56,44,57,51,43,2962,2287,1762,1762,1821,1,finishing,1,0,-1,0
122,60,26,36,42,25,29,2095,1104,915,915,904,0,finishing,0,0,1,1
126,23,43,60,20,27,40,1017,1257,1511,1017,1143,1,cutting,0,0,-5,0
149,52,42,55,48,27,53,2205,1082,2356,1082,956,0,sewing,0,0,-1,1
213,79,75,59,78,55,48,3458,2049,2119,2049,1946,0,sewing,0,0,-5,1
92,29,38,25,27,36,21,1179,1494,933,933,830,0,finishing,0,0,-2,1
134,74,40,20,56,33,13,2296,1517,418,418,519,1,finishing,0,0,-2,0
99,36,47,16,31,42,14,1502,1574,517,517,557,0,finishing,0,0,6,0
102,34,41,27,29,35,27,1357,1505,1045,1045,998,0,finishing,0,0,-6,1
130,24,50,56,23,34,38,1165,1550,1328,1165,1060,0,cutting,0,0,-4,1
226,79,80,67,78,73,58,2996,3180,1890,1890,1652,0,finishing,0,0,-2,1
109,48,44,17,40,35,14,1750,1459,432,432,374,0,finishing,0,0,-3,1
172,61,56,55,59,33,47,2887,1287,1793,1287,1342,1,sewing,3,0,3,0
128,34,28,66,27,16,57,1226,715,2564,715,765,1,sewing,12,0,-3,0
167,56,74,37,44,49,27,2036,2219,1092,1092,1152,1,finishing,10,0,-3,0
210,73,88,49,60,63,46,2311,2191,1795,1795,1637,0,finishing,0,0,-1,1
194,78,50,66,58,40,64,2348,1809,2753,1809,1572,0,sewing,0,0,5,1
185,78,43,64,57,41,52,2932,1608,2294,1608,1572,0,sewing,0,0,-2,1
107,40,42,25,39,38,23,1836,1384,1024,1024,1265,1,finishing,0,0,3,0
158,72,47,39,59,37,27,2388,1258,1094,1094,1135,1,finishing,3,1,11,0
144,60,38,46,46,32,31,1901,1528,1008,1008,1076,1,finishing,6,1,12,0
148,33,56,59,24,44,46,1176,1939,1413,1176,1180,1,cutting,7,1,16,1
177,26,86,65,21,61,56,819,2796,1927,819,797,0,cutting,0,0,-5,1
126,41,46,39,30,29,33,1535,1383,1157,1157,1421,1,finishing,11,0,0,0
82,30,31,21,26,21,16,1136,876,702,702,718,1,finishing,0,0,0,0
167,56,87,24,40,75,15,1759,2859,598,598,589,0,finishing,0,0,-6,1
134,33,46,55,27,29,50,1344,1111,1798,1111,1136,0,sewing,0,0,2,0
130,44,48,38,44,40,29,1786,1384,1061,1061,1017,0,finishing,0,0,3,1
130,23,44,63,17,28,61,727,1164,2718,727,737,1,cutting,7,1,19,1
156,56,55,45,48,35,41,2430,1540,1538,1538,1861,1,finishing,2,1,18,0
105,31,46,28,24,31,18,1054,1482,657,657,772,1,finishing,12,1,6,0
149,25,74,50,23,61,42,1149,2517,1837,1149,1081,0,cutting,0,0,3,1
153,53,78,22,50,55,16,2296,2318,711,711,614,0,finishing,0,0,6,1
157,26,61,70,26,47,58,1084,2028,2237,1084,1066,0,cutting,0,0,0,1
122,29,76,17,26,66,16,1074,2933,701,701,738,1,finishing,5,1,7,0
152,75,54,23,61,46,19,2548,1832,753,753,660,0,finishing,0,0,0,1
217,67,87,63,62,75,41,2803,2716,1421,1421,1393,0,finishing,0,0,2,1
130,76,28,26,59,19,16,2448,767,700,700,773,1,finishing,11,1,4,0
153,35,72,46,33,57,34,1697,2316,1301,1301,1349,1,finishing,2,0,0,0
137,23,45,69,19,34,64,781,1254,2545,781,811,1,cutting,8,1,9,0
113,58,26,29,48,24,22,2302,1054,750,750,915,1,finishing,0,0,-2,0
190,63,75,52,47,45,49,2443,2138,2086,2086,2122,1,finishing,8,0,-2,0
196,60,66,70,50,47,65,2397,2185,2241,2185,2074,0,sewing,0,0,-6,1
204,71,76,57,59,53,37,2783,2542,1253,1253,1254,0,finishing,0,0,5,1
141,56,49,36,46,46,33,2253,2147,1322,1322,1371,1,finishing,3,0,1,0
147,28,58,61,27,58,44,1383,2702,1751,1383,1215,0,cutting,0,0,-2,1
151,46,67,38,36,58,28,1601,2067,862,862,876,1,finishing,4,1,16,1
157,53,63,41,38,41,30,1971,1590,1344,1344,1676,1,finishing,3,1,19,0
123,41,47,35,38,29,22,1684,1071,915,915,899,0,finishing,0,0,6,1
127,68,36,23,66,34,20,2880,1615,714,714,625,0,finishing,0,0,-1,1
141,80,26,35,80,23,25,3060,783,1025,783,754,0,sewing,0,0,-2,1
105,28,38,39,27,31,27,1050,1073,1194,1050,1062,1,cutting,11,1,14,1
201,77,87,37,77,64,26,3948,2998,937,937,885,0,finishing,0,0,-4,1
112,33,27,52,31,18,36,1337,775,1100,775,853,1,sewing,0,0,-6,0
156,62,38,56,43,23,39,1884,904,1490,904,887,0,sewing,0,0,5,1
123,63,26,34,57,25,23,2694,944,898,898,860,0,finishing,0,0,-5,1
125,52,40,33,39,27,28,1590,993,950,950,936,0,finishing,0,0,5,1
133,46,62,25,32,54,23,1623,2356,855,855,728,0,finishing,0,0,-5,1
185,78,39,68,72,38,48,3693,1706,1494,1494,1839,1,finishing,5,0,-6,0
143,26,47,70,18,37,56,886,1419,2300,886,840,0,cutting,0,0,-6,1
119,20,42,57,19,30,47,817,1203,1848,817,873,1,cutting,0,0,0,0
160,45,83,32,44,73,31,2196,3299,1231,1231,1320,1,finishing,0,0,-4,0
156,26,78,52,25,74,38,1163,3323,1488,1163,1425,1,cutting,8,1,7,0
196,76,77,43,54,50,35,2547,1708,1505,1505,1549,1,finishing,0,0,4,0
191,75,68,48,68,62,34,2996,2738,1265,1265,1490,1,finishing,10,0,4,0
171,79,45,47,70,42,35,2733,1717,1176,1176,1246,1,finishing,7,1,6,0
196,49,81,66,48,53,57,2124,1890,2135,1890,1848,0,sewing,0,0,0,1
114,22,25,67,16,24,62,750,1115,2382,750,754,1,cutting,4,1,14,1
200,55,85,60,49,79,42,1928,3414,1261,1261,1287,1,finishing,6,1,5,0
169,77,46,46,57,40,32,2368,1469,1017,1017,1111,1,finishing,0,0,-1,0
121,26,78,17,19,74,14,897,3506,448,448,453,0,finishing,0,0,0,0
206,73,86,47,56,62,34,2209,2678,1329,1329,1281,0,finishing,0,0,0,1
146,58,56,32,52,43,24,2305,1542,868,868,1041,1,finishing,6,1,10,0
137,32,51,54,26,51,46,1323,1828,1870,1323,1436,1,cutting,12,0,-1,0
193,55,86,52,51,85,42,2564,3392,1268,1268,1140,0,finishing,0,0,-6,1
121,62,32,27,51,31,19,2640,1350,611,611,581,0,finishing,0,0,-3,1
134,68,29,37,61,18,33,3059,798,1418,798,927,1,sewing,12,0,4,0
135,23,73,39,22,73,37,1136,2801,1416,1136,1002,0,cutting,0,0,3,1
224,75,81,68,59,71,68,2728,3148,2240,2240,2438,1,finishing,2,0,-4,0
179,67,90,22,58,56,20,2430,2111,648,648,681,1,finishing,1,0,-1,0
153,58,31,64,49,25,59,2239,875,2396,875,915,1,sewing,3,1,16,0
123,25,69,29,20,62,23,852,2362,1017,852,858,1,cutting,11,0,4,0
154,42,82,30,39,64,19,1854,2463,831,831,936,1,finishing,9,1,15,0
185,52,90,43,51,56,36,2579,2054,1357,1357,1470,1,finishing,1,1,10,0
184,62,52,70,56,34,51,2549,1490,2276,1490,1757,1,sewing,3,0,5,0
90,41,29,20,29,17,15,1424,710,579,579,511,0,finishing,0,0,0,1
166,48,76,42,43,46,39,2039,1908,1545,1545,1592,1,finishing,2,1,20,0
153,26,62,65,22,56,44,922,2630,1571,922,973,1,cutting,0,0,5,0
162,45,62,55,33,46,55,1426,2175,2106,1426,1397,0,cutting,0,0,-6,1
180,56,75,49,56,75,33,2366,3335,1437,1437,1441,1,finishing,3,0,3,0
157,73,57,27,54,39,27,2656,1791,1154,1154,1441,1,finishing,5,1,12,0
137,26,50,61,25,40,50,994,1727,1575,994,1035,1,cutting,10,1,8,0
140,28,67,45,26,54,40,1270,2204,1265,1265,1235,0,finishing,0,0,-2,1
165,74,42,49,57,33,33,2746,1534,1410,1410,1459,1,finishing,4,1,12,0
195,54,85,56,41,74,48,1686,3315,1967,1686,1534,0,cutting,0,0,2,1
138,25,75,38,25,45,34,1033,2137,1520,1033,1241,1,cutting,0,0,3,0
185,80,43,62,79,40,51,3046,1786,1707,1707,1502,0,finishing,0,0,4,1
143,33,71,39,30,71,32,1510,2453,1271,1271,1240,0,finishing,0,0,4,1
201,73,60,68,59,54,61,2712,2120,2176,2120,2208,0,sewing,0,0,-2,0
145,44,53,48,36,42,42,1613,1711,1640,1613,1582,0,cutting,0,0,-4,1
115,34,34,47,33,24,36,1323,868,1405,868,1026,1,sewing,2,1,19,0
153,50,51,52,40,50,46,1532,1730,1775,1532,1427,0,cutting,0,0,-6,1
138,77,43,18,58,33,13,2623,1309,579,579,602,1,finishing,2,0,3,0
161,50,86,25,42,77,25,1679,3246,1037,1037,1048,1,finishing,8,1,6,0
146,34,73,39,25,46,25,1020,2117,939,939,922,0,finishing,0,0,-5,1
170,31,85,54,30,53,52,1351,1889,1936,1351,1254,0,cutting,0,0,-6,1
205,77,80,48,66,71,32,3152,2840,1410,1410,1454,1,finishing,12,1,17,0
130,28,57,45,22,36,38,1020,1498,1286,1020,965,0,cutting,0,0,-6,1
144,56,40,48,39,36,37,1857,1383,1311,1311,1225,0,finishing,0,0,-2,1
166,36,79,51,30,64,45,1457,2546,1879,1457,1456,0,cutting,0,0,2,1
141,50,57,34,46,56,28,2221,2574,1116,1116,1271,1,finishing,0,0,-3,0
193,52,76,65,46,48,47,1998,2059,1977,1977,2262,1,finishing,0,0,-2,0
126,34,72,20,32,44,19,1632,1742,757,757,738,0,finishing,0,0,-6,1
182,80,47,55,71,42,35,2898,1814,1472,1472,1257,0,finishing,0,0,3,1
160,52,54,54,41,53,36,1764,2288,1606,1606,1422,0,finishing,0,0,0,1
157,42,75,40,38,51,34,1452,2236,1488,1452,1492,1,cutting,6,1,12,0
127,34,49,44,29,47,28,1208,1865,884,884,785,0,finishing,0,0,-5,1
192,71,90,31,66,90,24,3149,4277,922,922,1107,1,finishing,8,1,4,0
120,50,39,31,37,35,30,1814,1297,1215,1215,1375,1,finishing,12,1,11,0
114,38,36,40,36,31,27,1647,1131,937,937,866,0,finishing,0,0,-4,1
175,80,49,46,79,35,36,3815,1617,1191,1191,1051,0,finishing,0,0,3,1
150,42,44,64,30,29,43,1423,1255,1685,1255,1453,0,sewing,0,0,1,0
154,43,65,46,39,47,44,1581,2100,1657,1581,1628,1,cutting,7,1,5,0
161,52,69,40,41,55,27,1958,2224,1089,1089,955,0,finishing,0,0,3,1
130,26,66,38,22,44,32,916,1661,1420,916,901,0,cutting,0,0,0,1
170,33,78,59,28,69,50,1173,2519,1598,1173,1159,0,cutting,0,0,-5,1
191,66,59,66,53,52,55,2649,1910,2310,1910,2186,0,sewing,0,0,0,0
