total_workers,cutting_workers,sewing_workers,finishing_workers,cutting_attendance,sewing_attendance,finishing_attendance,cutting_output,sewing_output,finishing_output,final_output,daily_target,target_completion_rate
161,62,64,35,54,59,30,1793,1311,829,829,878,0.9442
175,55,81,39,50,66,34,1712,1712,822,822,961,0.8554
130,56,54,20,52,49,18,1712,1328,420,420,431,0.9745
130,53,52,25,43,44,22,1290,931,523,523,827,0.6324
190,57,88,45,48,76,42,1511,1511,988,988,1044,0.9464
138,40,67,31,35,57,25,1258,1258,604,604,685,0.8818
100,36,42,22,32,34,22,978,775,497,497,546,0.9103
146,54,53,39,46,47,34,1542,1099,922,922,972,0.9486
149,44,70,35,41,66,29,1256,1256,805,805,918,0.8769
129,55,48,26,48,47,22,1630,1093,501,501,508,0.9862
85,32,28,25,26,25,20,829,688,517,517,966,0.5352
109,66,27,16,64,26,14,2025,689,374,374,437,0.8558
112,28,40,44,27,34,40,768,768,768,768,849,0.9046
145,45,53,47,40,49,44,1252,1203,893,893,926,0.9644
145,72,33,40,59,28,33,1774,673,673,673,1159,0.5807
144,51,78,15,50,72,12,1514,1514,281,281,321,0.8754
125,46,54,25,40,43,20,1006,965,362,362,803,0.4508
100,20,39,41,15,35,33,414,414,414,414,976,0.4242
122,74,25,23,63,21,20,1761,544,378,378,635,0.5953
115,44,52,19,42,50,18,1385,1147,411,411,448,0.9174
153,56,49,48,56,45,41,1575,1160,1071,1071,1327,0.8071
167,70,67,30,62,56,24,2218,1376,601,601,663,0.9065
100,29,50,21,25,44,20,865,865,529,529,598,0.8846
173,48,80,45,42,62,38,1253,1253,948,948,1822,0.5203
182,54,84,44,42,68,37,1324,1324,857,857,1987,0.4313
149,71,61,17,60,55,16,1770,1407,321,321,384,0.8359
118,51,30,37,51,29,37,1750,825,825,825,785,1.051
154,79,60,15,65,54,12,1780,1124,286,286,603,0.4743
147,33,80,34,29,70,28,885,885,515,515,1257,0.4097
130,25,82,23,24,80,22,928,928,485,485,475,1.0211
156,35,82,39,30,63,35,854,854,816,816,1959,0.4165
141,59,66,16,56,55,14,1729,1553,350,350,377,0.9284
159,37,86,36,30,78,33,1043,1043,903,903,1158,0.7798
193,62,87,44,62,84,44,2062,2062,1278,1278,1183,1.0803
118,53,27,38,44,21,32,1289,480,480,480,943,0.509
153,23,84,46,19,80,44,668,668,668,668,728,0.9176
112,55,27,30,44,27,27,1256,702,577,577,627,0.9203
147,56,71,20,43,55,17,1222,1222,369,369,704,0.5241
151,33,87,31,27,73,25,707,707,652,652,1053,0.6192
130,25,56,49,23,52,43,674,674,674,674,817,0.825
135,67,29,39,58,24,34,1816,488,488,488,914,0.5339
127,31,65,31,23,51,24,647,647,450,450,864,0.5208
139,46,61,32,35,53,26,1142,1142,592,592,1373,0.4312
84,37,31,16,32,28,14,1126,725,313,313,417,0.7506
127,69,25,33,53,20,26,1489,502,499,499,797,0.6261
176,54,87,35,46,75,32,1526,1526,741,741,1139,0.6506
140,56,44,40,55,44,39,1702,1041,1041,1041,916,1.1365
193,64,84,45,54,67,35,1661,1460,672,672,1224,0.549
92,48,28,16,39,23,13,1394,604,321,321,374,0.8583
142,49,64,29,40,60,28,1385,1385,628,628,640,0.9812
140,73,43,24,60,38,20,2119,921,498,498,601,0.8286
162,66,76,20,58,65,20,1973,1687,558,558,637,0.876
156,50,81,25,43,68,20,1398,1398,506,506,1053,0.4805
133,21,81,31,19,74,28,594,594,594,594,653,0.9096
163,67,47,49,66,46,49,2223,1323,1064,1064,935,1.138
157,61,77,19,61,71,16,1759,1759,438,438,539,0.8126
151,46,71,34,39,54,26,1115,1115,620,620,1009,0.6145
184,76,78,30,70,66,27,2029,1725,743,743,963,0.7715
150,25,89,36,19,77,32,607,607,607,607,1370,0.4431
118,56,35,27,43,28,21,1294,731,430,430,1057,0.4068
164,78,49,37,67,45,35,1999,1317,891,891,1016,0.877
180,63,83,34,62,81,32,2198,1979,749,749,660,1.1348
117,26,43,48,25,38,44,826,826,826,826,963,0.8577
158,31,80,47,29,65,44,815,815,815,815,905,0.9006
161,51,61,49,47,51,45,1483,1483,1162,1162,1221,0.9517
175,39,89,47,38,86,45,1144,1144,1136,1136,1063,1.0687
85,33,31,21,32,31,21,1236,925,481,481,423,1.1371
188,75,67,46,68,59,42,2441,1726,1156,1156,1298,0.8906
108,44,36,28,37,31,28,1041,766,599,599,727,0.8239
176,62,75,39,61,75,37,1874,1679,794,794,1079,0.7359
157,45,66,46,43,62,44,1444,1444,1141,1141,1560,0.7314
91,42,34,15,42,33,14,1503,807,354,354,315,1.1238
164,68,63,33,57,51,30,1683,1452,803,803,1202,0.6681
148,47,66,35,38,57,33,1253,1253,814,814,869,0.9367
180,79,69,32,61,58,27,1749,1551,497,497,828,0.6002
81,24,27,30,20,27,24,593,593,495,495,544,0.9099
174,68,79,27,66,79,26,2243,2018,637,637,555,1.1477
162,68,61,33,61,52,27,2094,1471,636,636,722,0.8809
176,79,66,31,67,62,30,2064,1839,615,615,858,0.7168
114,27,45,42,22,43,35,670,670,670,670,1025,0.6537
184,66,81,37,57,79,37,1913,1913,815,815,1193,0.6832
129,61,29,39,51,22,33,1424,466,466,466,835,0.5581
141,79,27,35,76,26,34,2403,800,800,800,740,1.0811
162,49,80,33,38,63,26,1145,1145,556,556,1271,0.4375
129,51,48,30,50,41,24,1630,967,499,499,546,0.9139
139,63,60,16,62,57,16,1959,1503,369,369,348,1.0603
180,74,86,20,58,67,16,1692,1649,345,345,578,0.5969
158,76,47,35,75,45,34,2396,1070,792,792,731,1.0834
105,44,43,18,36,37,16,1054,711,322,322,548,0.5876
153,64,44,45,58,40,42,2041,1088,988,988,1009,0.9792
163,54,69,40,44,55,32,1326,1319,610,610,1393,0.4379
145,64,55,26,52,48,24,1595,1399,627,627,692,0.9061
96,30,28,38,30,27,38,1000,832,832,832,752,1.1064
157,60,51,46,47,41,39,1324,1036,937,937,1550,0.6045
95,20,42,33,19,42,32,681,681,681,681,980,0.6949
146,51,74,21,47,61,20,1394,1394,507,507,566,0.8958
74,30,26,18,26,23,16,857,516,345,345,515,0.6699
147,31,79,37,24,63,29,783,783,554,554,1230,0.4504
134,59,58,17,47,51,13,1238,1238,293,293,535,0.5477
123,21,79,23,21,78,22,676,676,603,603,577,1.0451
129,37,61,31,31,56,27,962,962,725,725,949,0.764
104,36,33,35,31,29,28,845,634,504,504,845,0.5964
115,22,58,35,20,56,31,596,596,596,596,847,0.7037
163,77,51,35,75,51,33,2669,1421,817,817,721,1.1331
146,58,38,50,48,34,47,1493,945,945,945,1006,0.9394
93,32,37,24,32,36,24,1047,1047,583,583,567,1.0282
107,25,56,26,23,55,25,733,733,633,633,658,0.962
158,49,75,34,48,72,33,1765,1765,970,970,862,1.1253
170,79,75,16,72,61,15,2417,1780,410,410,601,0.6822
184,66,85,33,53,84,32,1883,1883,669,669,828,0.808
126,33,59,34,32,58,33,1094,1094,895,895,850,1.0529
138,38,72,28,31,64,27,1035,1035,541,541,752,0.7194
141,26,73,42,22,72,36,641,641,641,641,720,0.8903
100,49,31,20,39,27,18,1311,769,438,438,478,0.9163
152,27,86,39,27,83,36,966,966,905,905,973,0.9301
120,45,34,41,41,33,41,1219,947,947,947,1207,0.7846
153,73,31,49,73,31,47,2429,777,777,777,687,1.131
117,50,47,20,43,36,17,1275,715,402,402,631,0.6371
137,70,47,20,56,36,15,1519,705,358,358,714,0.5014
164,52,79,33,50,74,29,1773,1773,742,742,831,0.8929
174,58,86,30,49,83,26,1584,1584,573,573,803,0.7136
182,62,76,44,54,67,36,1567,1567,889,889,2051,0.4334
168,80,71,17,67,61,14,2227,1815,295,295,436,0.6766
155,68,46,41,59,38,34,1569,966,602,602,1074,0.5605
137,32,62,43,27,48,38,871,871,871,871,1921,0.4534
171,39,82,50,38,82,50,1237,1237,1237,1237,1175,1.0528
145,72,33,40,61,29,40,2142,748,748,748,875,0.8549
178,54,75,49,52,72,47,1853,1853,1147,1147,1114,1.0296
137,46,60,31,44,58,30,1674,1606,883,883,846,1.0437
142,48,46,48,44,44,44,1478,1125,1125,1125,1502,0.749
163,52,64,47,43,48,37,1258,1081,906,906,1883,0.4811
162,79,67,16,76,66,16,2465,1753,411,411,374,1.0989
145,42,54,49,41,48,48,1230,1230,980,980,1139,0.8604
135,21,84,30,20,81,29,741,741,720,720,688,1.0465
105,36,43,26,31,38,25,1065,1037,567,567,694,0.817
110,25,64,21,20,53,18,483,483,365,365,670,0.5448
174,78,59,37,74,56,36,2400,1441,950,950,853,1.1137
132,40,73,19,36,69,18,1162,1162,436,436,607,0.7183
110,25,48,37,20,43,33,510,510,510,510,950,0.5368
157,76,37,44,58,32,37,1631,754,754,754,1221,0.6175
104,44,36,24,42,34,23,1438,829,570,570,525,1.0857
115,32,39,44,28,32,39,952,895,895,895,947,0.9451
178,68,70,40,67,56,34,2324,1331,848,848,1259,0.6736
92,38,38,16,33,34,14,1060,901,328,328,516,0.6357
125,40,37,48,39,31,44,1200,733,733,733,783,0.9361
165,72,78,15,58,60,11,1754,1498,214,214,534,0.4007
198,79,69,50,68,58,38,2124,1466,765,765,1735,0.4409
149,56,44,49,54,44,48,2015,1263,1263,1263,1207,1.0464
156,52,54,50,50,44,47,1406,1236,1171,1171,1556,0.7526
165,44,89,32,43,85,32,1415,1415,713,713,662,1.077
146,44,73,29,42,70,27,1398,1398,593,593,789,0.7516
193,78,76,39,75,71,36,2630,1655,934,934,1093,0.8545
170,73,72,25,64,69,22,1829,1532,517,517,778,0.6645
131,57,35,39,48,30,36,1407,839,839,839,1198,0.7003
128,72,38,18,60,32,15,1927,870,383,383,441,0.8685
105,34,37,34,29,32,26,926,732,596,596,1061,0.5617
99,30,50,19,29,48,18,1134,1134,491,491,448,1.096
117,58,29,30,49,28,26,1644,804,695,695,927,0.7497
173,61,86,26,48,68,23,1479,1479,421,421,730,0.5767
88,21,50,17,17,41,14,504,504,296,296,371,0.7978
136,49,54,33,37,41,29,1169,829,702,702,1478,0.475
185,76,73,36,63,59,30,1617,1382,577,577,995,0.5799
158,66,66,26,65,65,25,2016,1922,765,765,729,1.0494
126,37,45,44,29,36,35,767,767,767,767,1617,0.4743
79,31,29,19,25,23,15,748,551,385,385,825,0.4667
105,45,39,21,35,32,18,907,777,370,370,614,0.6026
154,28,87,39,27,86,38,817,817,817,817,830,0.9843
132,25,66,41,23,56,40,781,781,781,781,1001,0.7802
136,29,84,23,23,63,17,646,646,393,393,792,0.4962
111,46,30,35,40,25,33,1216,708,708,708,920,0.7696
112,63,26,23,57,25,18,1915,714,363,363,449,0.8085
162,38,75,49,29,58,41,834,834,829,829,1853,0.4474
156,66,71,19,54,67,16,1627,1492,339,339,363,0.9339
171,73,72,26,65,65,22,1948,1541,614,614,823,0.7461
90,24,25,41,20,23,34,659,591,591,591,798,0.7406
149,78,44,27,76,37,22,2291,1082,510,510,733,0.6958
152,38,75,39,31,57,35,894,894,782,782,1592,0.4912
122,27,78,17,26,75,16,745,745,385,385,389,0.9897
113,23,49,41,20,49,33,680,680,680,680,835,0.8144
167,56,68,43,49,65,41,1563,1563,976,976,1054,0.926
112,20,72,20,19,69,20,570,570,428,428,378,1.1323
127,58,28,41,51,25,38,1639,701,701,701,852,0.8228
124,58,45,21,50,42,17,1634,944,360,360,372,0.9677
146,75,31,40,75,30,35,2415,841,762,762,1141,0.6678
147,55,75,17,52,73,15,1824,1733,369,369,511,0.7221
134,51,64,19,42,57,16,1464,1303,415,415,448,0.9263
118,33,39,46,32,37,43,1088,1088,1075,1075,1311,0.82
71,27,25,19,26,23,19,910,667,484,484,585,0.8274
119,30,51,38,25,44,32,840,840,730,730,815,0.8957
134,44,52,38,43,51,37,1330,1330,859,859,1059,0.8111
117,24,59,34,22,55,30,736,736,624,624,662,0.9426
124,59,34,31,57,33,30,2013,1019,686,686,674,1.0178
144,48,59,37,37,49,29,1177,1151,596,596,1286,0.4635
115,52,45,18,52,45,18,1952,1177,541,541,505,1.0713
184,58,82,44,53,70,38,1876,1841,1012,1012,1163,0.8702
130,44,47,39,43,39,38,1478,1140,791,791,900,0.8789
137,65,47,25,64,47,24,2046,1350,638,638,574,1.1115
192,75,89,28,72,73,28,2410,1720,695,695,761,0.9133
153,21,86,46,17,81,44,572,572,572,572,579,0.9879
146,71,37,38,68,36,38,2672,1034,1034,1034,944,1.0953
87,26,33,28,25,33,28,832,832,832,832,748,1.1123
150,64,55,31,48,49,25,1247,1076,553,553,976,0.5666
125,53,50,22,53,49,22,2064,1549,603,603,560,1.0768
146,78,51,17,63,50,16,2185,1358,439,439,495,0.8869
122,73,27,22,71,26,22,2691,739,576,576,528,1.0909
166,61,62,43,51,56,38,1560,1265,846,846,865,0.978
121,63,32,26,56,27,21,1786,805,460,460,583,0.789
141,68,58,15,59,52,12,1962,1200,240,240,281,0.8541
110,45,32,33,38,26,32,1075,636,636,636,911,0.6981
150,47,87,16,46,87,14,1508,1508,361,361,404,0.8936
148,52,51,45,43,47,37,1445,1063,864,864,881,0.9807
130,68,26,36,53,21,31,1372,440,440,440,910,0.4835
105,20,41,44,18,40,41,544,544,544,544,675,0.8059
109,36,27,46,35,26,45,1299,680,680,680,598,1.1371
108,37,26,45,33,20,36,1030,451,451,451,919,0.4908
163,63,54,46,52,52,43,1482,1238,1086,1086,1332,0.8153
143,59,59,25,50,52,22,1540,1330,509,509,780,0.6526
147,22,88,37,22,86,36,884,884,884,884,854,1.0351
155,53,62,40,42,53,30,1072,1072,649,649,1128,0.5754
140,76,29,35,58,25,27,1480,585,577,577,1257,0.459
119,75,28,16,62,26,16,2210,618,368,368,422,0.872
172,77,57,38,65,51,37,2230,1182,936,936,1085,0.8627
78,30,27,21,23,24,17,719,564,371,371,921,0.4028
103,42,43,18,41,43,16,1364,1050,379,379,404,0.9381
141,39,84,18,38,83,17,1391,1391,451,451,414,1.0894
157,46,61,50,41,57,43,1243,1243,994,994,1425,0.6975
133,20,90,23,19,87,22,672,672,634,634,605,1.0479
138,36,80,22,34,71,19,1168,1168,438,438,458,0.9563
155,34,72,49,33,70,49,1272,1272,1272,1272,1114,1.1418
194,75,75,44,66,74,44,1986,1986,912,912,956,0.954
151,36,75,40,35,72,40,1135,1135,952,952,902,1.0554
131,54,54,23,49,45,21,1461,1166,551,551,580,0.95
140,24,77,39,21,65,35,705,705,705,705,933,0.7556
91,27,41,23,22,34,18,706,673,334,334,646,0.517
132,50,33,49,45,29,38,1118,687,687,687,1292,0.5317
104,41,32,31,39,30,28,1327,721,639,639,978,0.6534
156,40,67,49,39,58,46,1316,1316,1110,1110,1216,0.9128
143,56,47,40,56,47,38,1917,1117,959,959,889,1.0787
146,49,64,33,44,54,31,1334,1334,665,665,698,0.9527
107,32,32,43,31,32,42,938,884,884,884,788,1.1218
131,47,59,25,46,57,24,1844,1844,762,762,702,1.0855
152,55,56,41,47,43,34,1549,1169,837,837,1610,0.5199
127,70,25,32,54,20,26,1617,516,516,516,864,0.5972
164,61,84,19,50,75,16,1549,1549,422,422,518,0.8147
108,33,26,49,29,20,43,768,540,540,540,994,0.5433
118,51,41,26,40,31,22,1258,710,509,509,916,0.5557
150,76,53,21,62,43,18,1513,1071,418,418,678,0.6165
120,35,54,31,30,48,29,1051,1051,650,650,851,0.7638
117,35,67,15,27,52,13,693,693,272,272,636,0.4277
100,31,41,28,26,37,22,740,740,478,478,1114,0.4291
124,67,31,26,55,31,24,1750,741,481,481,548,0.8777
155,76,33,46,67,27,36,2012,617,617,617,1055,0.5848
154,50,79,25,43,77,20,1204,1204,558,558,587,0.9506
114,21,49,44,21,48,42,805,805,805,805,751,1.0719
133,33,70,30,30,56,26,863,863,602,602,872,0.6904
117,23,73,21,21,66,20,720,720,427,427,600,0.7117
143,64,62,17,53,47,13,1540,1029,228,228,386,0.5907
99,27,53,19,23,46,18,755,755,417,417,422,0.9882
127,23,78,26,21,69,20,670,670,486,486,1116,0.4355
134,37,80,17,35,70,14,1059,1059,309,309,344,0.8983
122,21,64,37,20,59,33,697,697,697,697,736,0.947
130,26,60,44,23,47,34,645,645,645,645,1199,0.5379
141,27,66,48,21,57,39,660,660,660,660,1306,0.5054
194,62,84,48,53,69,41,1899,1572,938,938,1315,0.7133
118,39,61,18,35,54,14,840,840,267,267,520,0.5135
145,30,79,36,28,73,33,1004,1004,667,667,763,0.8742
110,22,53,35,22,52,34,791,791,791,791,753,1.0505
102,38,47,17,35,42,15,996,996,376,376,517,0.7273
90,50,25,15,48,25,14,1673,599,300,300,262,1.145
168,44,86,38,43,84,37,1421,1421,1038,1038,931,1.1149
116,69,29,18,65,28,15,1953,816,378,378,430,0.8791
176,64,77,35,52,60,27,1519,1519,668,668,1158,0.5769
183,80,59,44,68,57,39,2369,1306,937,937,1337,0.7008
97,25,45,27,24,44,26,815,815,601,601,545,1.1028
143,68,43,32,59,37,25,1877,1040,537,537,1096,0.49
112,33,51,28,28,48,26,810,810,614,614,829,0.7407
172,56,84,32,54,83,31,1972,1972,885,885,818,1.0819
137,43,51,43,38,40,37,1252,812,779,779,1725,0.4516
155,48,57,50,48,56,48,1790,1790,1081,1081,942,1.1476
102,33,47,22,28,42,19,741,741,455,455,892,0.5101
156,71,45,40,54,38,34,1416,1035,755,755,1368,0.5519
140,63,32,45,61,27,40,2044,735,735,735,760,0.9671
159,36,81,42,29,70,34,881,881,866,866,1288,0.6724
132,34,50,48,29,49,41,973,973,852,852,958,0.8894
134,30,59,45,26,54,37,817,817,817,817,870,0.9391
113,24,70,19,24,68,17,725,725,412,412,560,0.7357
162,44,87,31,43,80,25,1509,1509,549,549,575,0.9548
146,54,56,36,53,49,35,1533,1101,759,759,800,0.9487
186,73,73,40,61,58,32,1903,1448,616,616,1373,0.4487
161,55,72,34,52,69,33,1634,1612,709,709,688,1.0305
194,74,87,33,71,83,32,2342,2342,879,879,777,1.1313
182,49,87,46,49,87,46,1559,1559,1043,1043,937,1.1131
151,73,28,50,61,27,41,1821,762,762,762,790,0.9646
149,52,64,33,50,63,33,1979,1710,975,975,903,1.0797
172,57,87,28,46,76,23,1365,1365,634,634,930,0.6817
150,38,70,42,37,67,41,1267,1267,961,961,902,1.0654
146,38,84,24,38,84,23,1367,1367,624,624,565,1.1044
170,75,47,48,74,45,47,2527,1386,1321,1321,1282,1.0304
134,51,49,34,42,37,30,1137,816,666,666,1196,0.5569
180,79,86,15,65,73,12,1805,1626,231,231,473,0.4884
182,75,63,44,64,51,42,2273,1521,1004,1004,1316,0.7629
163,55,71,37,49,64,31,1588,1471,708,708,952,0.7437
110,30,49,31,25,40,27,717,717,516,516,822,0.6277
103,38,28,37,31,24,30,1042,600,600,600,744,0.8065
143,73,54,16,71,53,16,2253,1674,503,503,451,1.1153
98,47,26,25,46,25,25,1745,616,556,556,531,1.0471
140,48,51,41,43,49,35,1412,1412,850,850,1109,0.7665
125,20,66,39,17,50,31,536,536,536,536,1170,0.4581
178,54,86,38,47,71,29,1556,1556,663,663,1366,0.4854
159,76,51,32,69,42,27,2397,1018,640,640,850,0.7529
168,48,82,38,43,73,31,1355,1355,767,767,919,0.8346
152,57,55,40,57,52,40,1873,1368,960,960,914,1.0503
149,74,34,41,73,33,41,2930,912,912,912,901,1.0122
120,37,62,21,37,58,21,1176,1176,468,468,587,0.7973
173,57,72,44,47,71,37,1494,1494,845,845,1077,0.7846
174,69,81,24,60,75,22,1734,1715,523,523,565,0.9257
112,33,38,41,33,36,40,1111,978,978,978,860,1.1372
154,48,71,35,46,69,34,1604,1604,956,956,930,1.028
130,25,60,45,21,53,35,642,642,622,622,1100,0.5655
137,68,36,33,59,34,30,1851,972,808,808,892,0.9058
171,53,88,30,52,86,29,1823,1823,872,872,849,1.0271
150,40,86,24,36,79,23,1147,1147,466,466,636,0.7327
141,68,56,17,54,51,17,1644,1124,373,373,409,0.912
138,75,27,36,74,26,35,2738,753,753,753,726,1.0372
160,40,88,32,38,75,31,1309,1309,782,782,909,0.8603
99,31,50,18,30,45,15,1024,1024,327,327,409,0.7995
170,61,87,22,58,78,22,2026,2026,519,519,630,0.8238
116,23,63,30,23,61,30,919,919,787,787,687,1.1456
127,43,64,20,42,63,19,1312,1312,455,455,433,1.0508
136,39,53,44,34,47,39,1164,1164,856,856,1202,0.7121
96,44,36,16,35,29,13,1008,584,267,267,572,0.4668
155,51,54,50,42,43,43,1095,1060,1060,1060,1893,0.56
144,64,51,29,62,51,28,2218,1623,694,694,626,1.1086
140,39,58,43,38,55,36,1201,1201,814,814,1055,0.7716
131,45,54,32,43,52,32,1444,1444,845,845,773,1.0931
109,25,55,29,24,53,28,815,815,699,699,627,1.1148
117,27,59,31,21,44,28,624,624,624,624,1259,0.4956
142,72,25,45,56,20,40,1712,529,529,529,893,0.5924
172,39,87,46,32,77,41,900,900,900,900,1195,0.7531
109,53,32,24,51,31,23,1967,787,536,536,477,1.1237
119,44,45,30,43,44,26,1283,1117,535,535,604,0.8858
108,57,28,23,51,25,21,1323,544,489,489,832,0.5877
119,24,59,36,24,50,34,756,756,756,756,872,0.867
162,40,83,39,33,63,29,1094,1094,632,632,1408,0.4489
176,64,85,27,57,74,22,1522,1522,431,431,780,0.5526
134,67,35,32,55,31,31,1815,907,789,789,1126,0.7007
127,38,62,27,34,51,23,997,997,563,563,613,0.9184
114,53,38,23,47,31,21,1552,850,575,575,636,0.9041
83,37,26,20,33,21,17,939,499,372,372,767,0.485
142,44,62,36,36,55,28,932,932,504,504,825,0.6109
119,32,54,33,32,45,26,924,924,599,599,719,0.8331
116,29,45,42,22,38,32,594,594,594,594,1394,0.4261
152,43,67,42,38,60,37,1289,1289,847,847,1062,0.7976
127,36,71,20,30,68,16,1070,1070,360,360,373,0.9651
113,22,64,27,22,61,27,812,812,746,746,662,1.1269
116,31,48,37,30,47,36,1006,1006,1006,1006,941,1.0691
112,63,27,22,61,27,21,1840,713,514,514,465,1.1054
114,48,25,41,48,24,40,1794,737,737,737,711,1.0366
87,24,37,26,20,30,23,618,618,452,452,976,0.4631
168,74,65,29,68,65,28,2340,1820,701,701,761,0.9212
120,44,46,30,36,41,26,932,858,531,531,902,0.5887
104,51,26,27,48,22,24,1581,582,562,562,831,0.6763
170,68,81,21,56,64,17,1637,1637,395,395,737,0.536
144,64,36,44,64,36,42,2520,1174,948,948,869,1.0909
113,43,53,17,37,47,16,1218,1059,373,373,520,0.7173
149,39,61,49,35,50,40,1036,1036,899,899,1000,0.899
175,53,87,35,49,78,31,1383,1383,757,757,905,0.8365
157,47,74,36,38,67,32,1084,1084,725,725,880,0.8239
109,50,26,33,43,22,27,1536,616,545,545,732,0.7445
106,38,53,15,36,53,15,1378,1378,412,412,362,1.1381
164,75,62,27,67,47,23,2049,1008,579,579,1367,0.4236
168,68,80,20,57,75,19,1825,1825,439,439,660,0.6652
82,24,27,31,22,22,26,623,514,514,514,768,0.6693
189,59,82,48,55,81,47,1582,1582,955,955,1079,0.8851
120,36,36,48,33,31,44,1128,928,928,928,1275,0.7278
96,43,34,19,43,32,19,1552,893,501,501,448,1.1183
145,21,79,45,20,73,45,566,566,566,566,824,0.6869
183,59,88,36,59,82,33,1950,1924,839,839,1152,0.7283
123,25,82,16,19,71,12,613,613,261,261,561,0.4652
151,61,65,25,60,62,25,1943,1551,570,570,515,1.1068
152,76,58,18,69,52,16,2156,1216,434,434,568,0.7641
180,59,84,37,52,84,35,1815,1815,876,876,1239,0.707
124,45,48,31,43,40,30,1262,1188,801,801,985,0.8132
195,59,86,50,56,81,46,1912,1912,992,992,1353,0.7332
133,20,71,42,16,59,37,438,438,438,438,1083,0.4044
162,38,83,41,34,76,34,982,982,798,798,924,0.8636
144,35,79,30,35,78,29,1112,1112,859,859,835,1.0287
123,43,43,37,40,35,34,1244,892,892,892,1122,0.795
134,55,32,47,55,29,42,1550,846,846,846,938,0.9019
128,45,43,40,37,39,39,1195,1124,1005,1005,1167,0.8612
131,26,88,17,22,74,17,781,781,442,442,658,0.6717
176,63,82,31,54,70,24,1396,1396,482,482,1103,0.437
146,28,73,45,23,68,37,672,672,672,672,862,0.7796
166,74,63,29,69,53,28,2364,1210,775,775,891,0.8698
158,61,63,34,55,58,33,1548,1548,789,789,926,0.8521
141,35,68,38,32,66,30,1035,1035,822,822,947,0.868
87,46,26,15,40,25,14,1319,681,297,297,383,0.7755
126,47,32,47,38,28,42,1010,591,591,591,1088,0.5432
119,20,74,25,18,60,21,570,570,439,439,455,0.9648
160,47,66,47,42,62,46,1499,1440,1012,1012,1239,0.8168
77,26,35,16,20,30,13,616,616,318,318,759,0.419
138,76,43,19,63,42,16,2175,1256,420,420,540,0.7778
126,21,67,38,21,61,36,752,752,752,752,811,0.9273
118,27,70,21,26,64,21,883,883,525,525,585,0.8974
127,71,31,25,57,27,20,1653,629,456,456,727,0.6272
135,62,25,48,47,20,40,1195,532,532,532,1040,0.5115
149,62,65,22,50,51,19,1631,1222,376,376,818,0.4597
125,52,31,42,45,30,36,1390,758,757,757,769,0.9844
140,61,35,44,59,31,36,2115,889,889,889,1301,0.6833
76,33,27,16,32,27,16,1181,723,447,447,440,1.0159
118,54,45,19,42,37,16,1138,975,350,350,859,0.4075
146,68,63,15,55,52,14,1754,1205,366,366,374,0.9786
113,35,39,39,35,39,38,1176,1007,920,920,889,1.0349
141,35,66,40,35,63,40,1212,1212,1095,1095,1015,1.0788
139,55,55,29,53,54,28,1725,1725,869,869,790,1.1
114,28,38,48,24,32,38,708,708,708,708,1240,0.571
